,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-neha1247-1-one-1,numerals-neha1247-1,Chan2019,one,1,siɔkɔ,sioko,,FALSE,1,,
2,numerals-neha1247-1-two-1,numerals-neha1247-1,Chan2019,two,2,tɔriki,toriki,,FALSE,{CLF?}2,Innovative (?),
3,numerals-neha1247-1-three-1,numerals-neha1247-1,Chan2019,three,3,touɔnɔ,touono,,FALSE,{CLF?}3,Innovative (?),
4,numerals-neha1247-1-four-1,numerals-neha1247-1,Chan2019,four,4,toueiti,toueiti,,FALSE,{CLF?}4,,
5,numerals-neha1247-1-five-1,numerals-neha1247-1,Chan2019,five,5,tɔlima,tolima,,FALSE,{CLF?}5,,
6,numerals-neha1247-1-six-1,numerals-neha1247-1,Chan2019,six,6,tɔnɔmɔ,tonomo,,FALSE,{CLF?}6,,
7,numerals-neha1247-1-seven-1,numerals-neha1247-1,Chan2019,seven,7,mouiti,mouiti,,FALSE,{6?}7,Sequential number word formation (?),
8,numerals-neha1247-1-eight-1,numerals-neha1247-1,Chan2019,eight,8,tuala,tuala,,FALSE,{CLF?}8,,
9,numerals-neha1247-1-nine-1,numerals-neha1247-1,Chan2019,nine,9,lusiɔ,lusio,,FALSE,{8?}9,Sequential number word formation (?),
10,numerals-neha1247-1-ten-1,numerals-neha1247-1,Chan2019,ten,10,haŋaulu,hangaulu,,FALSE,10,Historically 1⋅10 (?),
11,numerals-neha1247-1-eleven-1,numerals-neha1247-1,Chan2019,eleven,11,haŋaulu siɔkɔ,hangaulusioko,,FALSE,10[+]1,,
12,numerals-neha1247-1-twelve-1,numerals-neha1247-1,Chan2019,twelve,12,haŋaulu tɔriki,hangaulutoriki,,FALSE,10[+]{CLF?}2,,
13,numerals-neha1247-1-thirteen-1,numerals-neha1247-1,Chan2019,thirteen,13,haŋaulu touɔnɔ,hangaulutouono,,FALSE,10[+]{CLF?}3,,
14,numerals-neha1247-1-fourteen-1,numerals-neha1247-1,Chan2019,fourteen,14,haŋaulu toueiti,hangaulutoueiti,,FALSE,10[+]{CLF?}4,,
15,numerals-neha1247-1-fifteen-1,numerals-neha1247-1,Chan2019,fifteen,15,haŋaulu tɔlima,hangaulutolima,,FALSE,10[+]{CLF?}5,,
