,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-taku1257-1-one-1,numerals-taku1257-1,Chan2019,one,1,tasi,tasi,,FALSE,1,,
2,numerals-taku1257-1-one-2,numerals-taku1257-1,Chan2019,one,1,tokotasi,tokotasi,,FALSE,{?}1,,
3,numerals-taku1257-1-two-1,numerals-taku1257-1,Chan2019,two,2,rua,rua,,FALSE,2,,
4,numerals-taku1257-1-two-2,numerals-taku1257-1,Chan2019,two,2,rua,rua,,FALSE,2,,
5,numerals-taku1257-1-three-1,numerals-taku1257-1,Chan2019,three,3,toru,toru,,FALSE,3,,
6,numerals-taku1257-1-three-2,numerals-taku1257-1,Chan2019,three,3,toru,toru,,FALSE,3,,
7,numerals-taku1257-1-four-1,numerals-taku1257-1,Chan2019,four,4,ha,ha,,FALSE,4,,
8,numerals-taku1257-1-four-2,numerals-taku1257-1,Chan2019,four,4,ha,ha,,FALSE,4,,
9,numerals-taku1257-1-five-1,numerals-taku1257-1,Chan2019,five,5,rima,rima,,FALSE,5,,
10,numerals-taku1257-1-five-2,numerals-taku1257-1,Chan2019,five,5,rima,rima,,FALSE,5,,
11,numerals-taku1257-1-six-1,numerals-taku1257-1,Chan2019,six,6,ono,ono,,FALSE,6,,
12,numerals-taku1257-1-six-2,numerals-taku1257-1,Chan2019,six,6,ono,ono,,FALSE,6,,
13,numerals-taku1257-1-seven-1,numerals-taku1257-1,Chan2019,seven,7,hitu,hitu,,FALSE,7,,
14,numerals-taku1257-1-seven-2,numerals-taku1257-1,Chan2019,seven,7,hitu,hitu,,FALSE,7,,
15,numerals-taku1257-1-eight-1,numerals-taku1257-1,Chan2019,eight,8,varu,varu,,FALSE,8,,
16,numerals-taku1257-1-eight-2,numerals-taku1257-1,Chan2019,eight,8,varu,varu,,FALSE,8,,
17,numerals-taku1257-1-nine-1,numerals-taku1257-1,Chan2019,nine,9,sivo,sivo,,FALSE,9,,
18,numerals-taku1257-1-nine-2,numerals-taku1257-1,Chan2019,nine,9,sivo,sivo,,FALSE,9,,
19,numerals-taku1257-1-ten-1,numerals-taku1257-1,Chan2019,ten,10,sinahuru,sinahuru,,FALSE,10,Historically 1⋅10 (?),
20,numerals-taku1257-1-ten-2,numerals-taku1257-1,Chan2019,ten,10,sehui,sehui,,FALSE,10,Historically 1⋅10 (?),
21,numerals-taku1257-1-eleven-1,numerals-taku1257-1,Chan2019,eleven,11,sinahuru ma tasi,sinahurumatasi,,FALSE,10{and}+1,,
22,numerals-taku1257-1-twelve-1,numerals-taku1257-1,Chan2019,twelve,12,sinahuru ma rua,sinahurumarua,,FALSE,10{and}+2,,
23,numerals-taku1257-1-thirteen-1,numerals-taku1257-1,Chan2019,thirteen,13,sinahuru ma toru,sinahurumatoru,,FALSE,10{and}+3,,
24,numerals-taku1257-1-fourteen-1,numerals-taku1257-1,Chan2019,fourteen,14,sinahuru ma ha,sinahurumaha,,FALSE,10{and}+4,,
25,numerals-taku1257-1-fifteen-1,numerals-taku1257-1,Chan2019,fifteen,15,sinahuru ma rima,sinahurumarima,,FALSE,10{and}+5,,
26,numerals-taku1257-1-sixteen-1,numerals-taku1257-1,Chan2019,sixteen,16,sinahuru ma ono,sinahurumaono,,FALSE,10{and}+6,,
27,numerals-taku1257-1-seventeen-1,numerals-taku1257-1,Chan2019,seventeen,17,sinahuru ma hitu,sinahurumahitu,,FALSE,10{and}+7,,
28,numerals-taku1257-1-eighteen-1,numerals-taku1257-1,Chan2019,eighteen,18,sinahuru ma varu,sinahurumavaru,,FALSE,10{and}+8,,
29,numerals-taku1257-1-nineteen-1,numerals-taku1257-1,Chan2019,nineteen,19,sinahuru ma sivo,sinahurumasivo,,FALSE,10{and}+9,,
30,numerals-taku1257-1-twenty-1,numerals-taku1257-1,Chan2019,twenty,20,matalua,matalua,,FALSE,10′[⋅]2,,
31,numerals-taku1257-1-twenty-2,numerals-taku1257-1,Chan2019,twenty,20,sehui e rua,sehuierua,,FALSE,10{ART}[⋅]2,,
32,numerals-taku1257-1-twentyone-1,numerals-taku1257-1,Chan2019,twentyone,21,matalua ma tasi,mataluamatasi,,FALSE,(10′[⋅]2){and}+1,,
33,numerals-taku1257-1-twentytwo-1,numerals-taku1257-1,Chan2019,twentytwo,22,matalua ma rua,mataluamarua,,FALSE,(10′[⋅]2){and}+2,,
34,numerals-taku1257-1-twentythree-1,numerals-taku1257-1,Chan2019,twentythree,23,matalua ma toru,mataluamatoru,,FALSE,(10′[⋅]2){and}+3,,
35,numerals-taku1257-1-twentyfour-1,numerals-taku1257-1,Chan2019,twentyfour,24,matalua ma haː,mataluamaha,,FALSE,(10′[⋅]2){and}+4,,
36,numerals-taku1257-1-twentyfive-1,numerals-taku1257-1,Chan2019,twentyfive,25,matalua ma rima,mataluamarima,,FALSE,(10′[⋅]2){and}+5,,
37,numerals-taku1257-1-twentysix-1,numerals-taku1257-1,Chan2019,twentysix,26,matalua ma ono,mataluamaono,,FALSE,(10′[⋅]2){and}+6,,
38,numerals-taku1257-1-twentyseven-1,numerals-taku1257-1,Chan2019,twentyseven,27,matalua ma hitu,mataluamahitu,,FALSE,(10′[⋅]2){and}+7,,
39,numerals-taku1257-1-twentyeight-1,numerals-taku1257-1,Chan2019,twentyeight,28,matalua ma varu,mataluamavaru,,FALSE,(10′[⋅]2){and}+8,,
40,numerals-taku1257-1-twentynine-1,numerals-taku1257-1,Chan2019,twentynine,29,matalua ma sivo,mataluamasivo,,FALSE,(10′[⋅]2){and}+9,,
41,numerals-taku1257-1-thirty-1,numerals-taku1257-1,Chan2019,thirty,30,matatoru,matatoru,,FALSE,10′[⋅]3,,
42,numerals-taku1257-1-thirty-2,numerals-taku1257-1,Chan2019,thirty,30,sehui e toru,sehuietoru,,FALSE,10{ART}[⋅]3,,
43,numerals-taku1257-1-forty-1,numerals-taku1257-1,Chan2019,forty,40,matahaa,matahaa,,FALSE,10′[⋅]4,,
44,numerals-taku1257-1-forty-2,numerals-taku1257-1,Chan2019,forty,40,sehui e haa,sehuiehaa,,FALSE,10{ART}[⋅]4,,
45,numerals-taku1257-1-fifty-1,numerals-taku1257-1,Chan2019,fifty,50,matarima,matarima,,FALSE,10′[⋅]5,,
46,numerals-taku1257-1-fifty-2,numerals-taku1257-1,Chan2019,fifty,50,sehui e rima,sehuierima,,FALSE,10{ART}[⋅]5,,
47,numerals-taku1257-1-sixty-1,numerals-taku1257-1,Chan2019,sixty,60,mataono,mataono,,FALSE,10′[⋅]6,,
48,numerals-taku1257-1-sixty-2,numerals-taku1257-1,Chan2019,sixty,60,sehui e ono,sehuieono,,FALSE,10{ART}[⋅]6,,
49,numerals-taku1257-1-seventy-1,numerals-taku1257-1,Chan2019,seventy,70,matahitu,matahitu,,FALSE,10′[⋅]7,,
50,numerals-taku1257-1-seventy-2,numerals-taku1257-1,Chan2019,seventy,70,sehui e hitu,sehuiehitu,,FALSE,10{ART}[⋅]7,,
51,numerals-taku1257-1-eighty-1,numerals-taku1257-1,Chan2019,eighty,80,matavaru,matavaru,,FALSE,10′[⋅]8,,
52,numerals-taku1257-1-eighty-2,numerals-taku1257-1,Chan2019,eighty,80,sehui e varu,sehuievaru,,FALSE,10{ART}[⋅]8,,
53,numerals-taku1257-1-ninety-1,numerals-taku1257-1,Chan2019,ninety,90,matasivo,matasivo,,FALSE,10′[⋅]9,,
54,numerals-taku1257-1-ninety-2,numerals-taku1257-1,Chan2019,ninety,90,sehui e sivo,sehuiesivo,,FALSE,10{ART}[⋅]9,,
55,numerals-taku1257-1-hundred-1,numerals-taku1257-1,Chan2019,hundred,100,se lau,selau,,FALSE,100,Historically 1⋅100 (?),
56,numerals-taku1257-1-hundred-2,numerals-taku1257-1,Chan2019,hundred,100,huitarau,huitarau,(K 10),FALSE,1′⋅100′,,
57,numerals-taku1257-1-twohundred-1,numerals-taku1257-1,Chan2019,twohundred,200,se rau lua,seraulua,,FALSE,100[⋅]2,,
58,numerals-taku1257-1-fivehundred-1,numerals-taku1257-1,Chan2019,fivehundred,500,rimanarau,rimanarau,,FALSE,5⋅100′,,
59,numerals-taku1257-1-thousand-1,numerals-taku1257-1,Chan2019,thousand,1000,simata,simata,,FALSE,1000,Historically 1⋅1000 (?),
60,numerals-taku1257-1-thousand-2,numerals-taku1257-1,Chan2019,thousand,1000,se hua,sehua,( counting coin money),FALSE,1000′,Historically 1⋅1000′ (?),
61,numerals-taku1257-1-twothousand-1,numerals-taku1257-1,Chan2019,twothousand,2000,se hua rua,sehuarua,,FALSE,1000′[⋅]2,,
