,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kaci1244-1-one-1,numerals-kaci1244-1,Chan2019,one,1,óɗè,ode,,false,1,,
2,numerals-kaci1244-1-two-1,numerals-kaci1244-1,Chan2019,two,2,rámmá,ramma,,false,2,,
3,numerals-kaci1244-1-three-1,numerals-kaci1244-1,Chan2019,three,3,íyó,iyo,,false,3,,
4,numerals-kaci1244-1-four-1,numerals-kaci1244-1,Chan2019,four,4,wèhé,wehe,,false,4,,
5,numerals-kaci1244-1-five-1,numerals-kaci1244-1,Chan2019,five,5,tűr,tur,,false,5,,
6,numerals-kaci1244-1-six-1,numerals-kaci1244-1,Chan2019,six,6,tɔ̀rkɔ̀nɔ́,torkono,,false,6,Historically 5+1 (?),
7,numerals-kaci1244-1-seven-1,numerals-kaci1244-1,Chan2019,seven,7,tʉ̀rɡɛ̀rɛ́,turgere,,false,7,Historically 5+2 (?),
8,numerals-kaci1244-1-eight-1,numerals-kaci1244-1,Chan2019,eight,8,tùrɡè,turge,,false,8,Historically 5+3 (?),
9,numerals-kaci1244-1-nine-1,numerals-kaci1244-1,Chan2019,nine,9,tɔ́rɡɔ̀ɡɔ̀,torgogo,,false,9,Historically 5+4 (?),
10,numerals-kaci1244-1-ten-1,numerals-kaci1244-1,Chan2019,ten,10,ɔ̀mɔ̀ðɔ̀,omodo,,false,10,,
11,numerals-kaci1244-1-eleven-1,numerals-kaci1244-1,Chan2019,eleven,11,ɔ̀mɔ̀ðɔ̀ kò óɗè,omodokoode,,false,10+1,,
12,numerals-kaci1244-1-twelve-1,numerals-kaci1244-1,Chan2019,twelve,12,ɔ̀mɔ̀ðɔ̀ kò rámmá,omodokoramma,,false,10+2,,
13,numerals-kaci1244-1-thirteen-1,numerals-kaci1244-1,Chan2019,thirteen,13,ɔ̀mɔ̀ðɔ̀ kò íyyó,omodokoiyyo,,false,10+3,,
14,numerals-kaci1244-1-fourteen-1,numerals-kaci1244-1,Chan2019,fourteen,14,ɔ̀mɔ̀ðɔ̀ kò wèhé,omodokowehe,,false,10+4,,
15,numerals-kaci1244-1-fifteen-1,numerals-kaci1244-1,Chan2019,fifteen,15,ɔ̀mɔ̀ðɔ̀ kò tűr,omodokotur,,false,10+5,,
16,numerals-kaci1244-1-sixteen-1,numerals-kaci1244-1,Chan2019,sixteen,16,ɔ̀mɔ̀ðɔ̀ kò tɔ̀rkɔ̀nɔ́,omodokotorkono,,false,10+6,,
17,numerals-kaci1244-1-seventeen-1,numerals-kaci1244-1,Chan2019,seventeen,17,ɔ̀mɔ̀ðɔ̀ kò tʉ̀rɡɛ̀rɛ́,omodokoturgere,,false,10+7,,
