ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-akum1238-1-one-1;numerals-akum1238-1;Chan2019;one;1;ájì;aji;;FALSE;1;;
numerals-akum1238-1-two-1;numerals-akum1238-1;Chan2019;two;2;afã̀;afa;;FALSE;2;;
numerals-akum1238-1-three-1;numerals-akum1238-1;Chan2019;three;3;ata;ata;;FALSE;3;;
numerals-akum1238-1-four-1;numerals-akum1238-1;Chan2019;four;4;aɲɪ̀;ani;;FALSE;4;;
numerals-akum1238-1-five-1;numerals-akum1238-1;Chan2019;five;5;acóŋ;acong;;FALSE;5;;
numerals-akum1238-1-six-1;numerals-akum1238-1;Chan2019;six;6;acóŋ jì;acongji;( 5+ 1 );FALSE;5+1;;
numerals-akum1238-1-seven-1;numerals-akum1238-1;Chan2019;seven;7;acóŋ afã̀;acongafa;( 5+ 2 );FALSE;5+2;;
numerals-akum1238-1-eight-1;numerals-akum1238-1;Chan2019;eight;8;acóŋ ata;acongata;( 5+ 3 );FALSE;5+3;;
numerals-akum1238-1-nine-1;numerals-akum1238-1;Chan2019;nine;9;acóŋ ɲì;acongni;( 5+ 4 );FALSE;5+4;;
numerals-akum1238-1-ten-1;numerals-akum1238-1;Chan2019;ten;10;īkùr;ikur;(ù);FALSE;10;;
numerals-akum1238-1-eleven-1;numerals-akum1238-1;Chan2019;eleven;11;īkùr ka ájì;ikurkaaji;;FALSE;10+{LIG}1;;
numerals-akum1238-1-twelve-1;numerals-akum1238-1;Chan2019;twelve;12;īkùr ka afã̀;ikurkaafa;;FALSE;10+{LIG}2;;
numerals-akum1238-1-nineteen-1;numerals-akum1238-1;Chan2019;nineteen;19;īkùr ka acóŋ aɲì;ikurkaacongani;;FALSE;10+{LIG}5+4;;
numerals-akum1238-1-twenty-1;numerals-akum1238-1;Chan2019;twenty;20;akam;akam;;FALSE;20;;
numerals-akum1238-1-twentyone-1;numerals-akum1238-1;Chan2019;twentyone;21;ikam ka ájì;ikamkaaji;;FALSE;20+{LIG}1;;
numerals-akum1238-1-thirty-1;numerals-akum1238-1;Chan2019;thirty;30;ikam ka ikùr;ikamkaikur;;FALSE;20+{LIG}10;;
numerals-akum1238-1-forty-1;numerals-akum1238-1;Chan2019;forty;40;akam afã̀;akamafa;;FALSE;20·2;;
numerals-akum1238-1-fifty-1;numerals-akum1238-1;Chan2019;fifty;50;akam afã̀ ikùr;akamafaikur;;FALSE;(20·2)+{LIG}10;;
numerals-akum1238-1-seventy-1;numerals-akum1238-1;Chan2019;seventy;70;akam ata ka ikùr;akamatakaikur;;FALSE;(20·3)+{LIG}10;;
numerals-akum1238-1-ninety-1;numerals-akum1238-1;Chan2019;ninety;90;akam aɲì ka ikùr;akamanikaikur;;FALSE;(20·4)+{LIG}10;;
