ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-bago1245-1-one-1;numerals-bago1245-1;Chan2019;one;1;ŋʊrʊk͡pák͡pá;ngurukpakpa;;FALSE;1;;
numerals-bago1245-1-two-1;numerals-bago1245-1;Chan2019;two;2;bààlɛ̀;baale;;FALSE;{CL}2;;
numerals-bago1245-1-three-1;numerals-bago1245-1;Chan2019;three;3;bàtòòro;batooro;;FALSE;{CL}3;;
numerals-bago1245-1-four-1;numerals-bago1245-1;Chan2019;four;4;bànásá;banasa;;FALSE;{CL}4;;
numerals-bago1245-1-five-1;numerals-bago1245-1;Chan2019;five;5;bàànʊ́;baanu;;FALSE;{CL}5;;
numerals-bago1245-1-six-1;numerals-bago1245-1;Chan2019;six;6;lèèjò;leejo;;FALSE;6;;
numerals-bago1245-1-seven-1;numerals-bago1245-1;Chan2019;seven;7;lʊ̀ŋlè;lungle;;FALSE;7;;
numerals-bago1245-1-eight-1;numerals-bago1245-1;Chan2019;eight;8;ɖìk͡pèèrè;dikpeere;;FALSE;8;;
numerals-bago1245-1-nine-1;numerals-bago1245-1;Chan2019;nine;9;kàkààrè;kakaare;;FALSE;9;;
numerals-bago1245-1-nine-2;numerals-bago1245-1;Chan2019;nine;9;ŋʊrʊk͡pák͡pá tá sàlá;ngurukpakpatasala;( 10 -1);FALSE;1-{LIG}10;;
numerals-bago1245-1-ten-1;numerals-bago1245-1;Chan2019;ten;10;sàlá;sala;;FALSE;10;;
numerals-bago1245-1-eleven-1;numerals-bago1245-1;Chan2019;eleven;11;sàláŋʊrʊ;salanguru;(k͡pák͡pá);FALSE;10+1';;
numerals-bago1245-1-twelve-1;numerals-bago1245-1;Chan2019;twelve;12;sàlábààlɛ̀;salabaale;;FALSE;10+{CL}2;;
numerals-bago1245-1-thirteen-1;numerals-bago1245-1;Chan2019;thirteen;13;sàlábàtòòro;salabatooro;;FALSE;10+{CL}3;;
numerals-bago1245-1-fourteen-1;numerals-bago1245-1;Chan2019;fourteen;14;sàlábànásá;salabanasa;;FALSE;10+{CL}4;;
numerals-bago1245-1-fifteen-1;numerals-bago1245-1;Chan2019;fifteen;15;sàlábàànʊ́;salabaanu;;FALSE;10+{CL}5;;
numerals-bago1245-1-sixteen-1;numerals-bago1245-1;Chan2019;sixteen;16;sàlálèèjò;salaleejo;;FALSE;10+6;;
numerals-bago1245-1-seventeen-1;numerals-bago1245-1;Chan2019;seventeen;17;sàlálʊ̀ŋlè;salalungle;;FALSE;10+7;;
numerals-bago1245-1-eighteen-1;numerals-bago1245-1;Chan2019;eighteen;18;sàláɖìk͡pèèrè;saladikpeere;;FALSE;10+8;;
numerals-bago1245-1-nineteen-1;numerals-bago1245-1;Chan2019;nineteen;19;sàlákàkààrè;salakakaare;;FALSE;10+9;;
numerals-bago1245-1-twenty-1;numerals-bago1245-1;Chan2019;twenty;20;akó;ako;;FALSE;20;;
numerals-bago1245-1-twentyone-1;numerals-bago1245-1;Chan2019;twentyone;21;akó ŋʊrʊ;akonguru;(k͡pák͡pá);FALSE;20+1';;
numerals-bago1245-1-twentytwo-1;numerals-bago1245-1;Chan2019;twentytwo;22;akó bààlɛ̀;akobaale;;FALSE;20+{CL}2;;
numerals-bago1245-1-twentythree-1;numerals-bago1245-1;Chan2019;twentythree;23;akó bàtòòro;akobatooro;;FALSE;20+{CL}3;;
numerals-bago1245-1-twentyfour-1;numerals-bago1245-1;Chan2019;twentyfour;24;akó bànásá;akobanasa;;FALSE;20+{CL}4;;
numerals-bago1245-1-twentyfive-1;numerals-bago1245-1;Chan2019;twentyfive;25;akó bàànʊ́;akobaanu;;FALSE;20+{CL}5;;
numerals-bago1245-1-twentysix-1;numerals-bago1245-1;Chan2019;twentysix;26;akó lèèjò;akoleejo;;FALSE;20+6;;
numerals-bago1245-1-twentyseven-1;numerals-bago1245-1;Chan2019;twentyseven;27;akó lʊ̀ŋlè;akolungle;;FALSE;20+7;;
numerals-bago1245-1-twentyeight-1;numerals-bago1245-1;Chan2019;twentyeight;28;akó ɖìk͡pèèrè;akodikpeere;;FALSE;20+8;;
numerals-bago1245-1-twentynine-1;numerals-bago1245-1;Chan2019;twentynine;29;akó kàkààrè;akokakaare;;FALSE;20+9;;
numerals-bago1245-1-thirty-1;numerals-bago1245-1;Chan2019;thirty;30;aɡ͡bá;agba;;FALSE;30;;
numerals-bago1245-1-forty-1;numerals-bago1245-1;Chan2019;forty;40;ŋììlɛ́;ngiile;( 20 x 2 );FALSE;20’·2;;
numerals-bago1245-1-fifty-1;numerals-bago1245-1;Chan2019;fifty;50;ŋììlɛ́ nà sàlá;ngiilenasala;;FALSE;(20’·2)+{and}10;;
numerals-bago1245-1-sixty-1;numerals-bago1245-1;Chan2019;sixty;60;nìtòòrò;nitooro;( 20 x 3 );FALSE;20’·3;;
numerals-bago1245-1-seventy-1;numerals-bago1245-1;Chan2019;seventy;70;nìtòòrò nà sàlá;nitooronasala;;FALSE;(20’·3)+{and}10;;
numerals-bago1245-1-eighty-1;numerals-bago1245-1;Chan2019;eighty;80;nìnásá;ninasa;( 20 x 4 );FALSE;20’·4;;
