ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-esim1238-1-one-1;numerals-esim1238-1;Chan2019;one;1;kēnə̄;kena;;FALSE;1;;
numerals-esim1238-1-two-1;numerals-esim1238-1;Chan2019;two;2;mə̄rākpə̄;marakpa;;FALSE;2;;
numerals-esim1238-1-three-1;numerals-esim1238-1;Chan2019;three;3;mākə̄lə̄;makala;;FALSE;3;;
numerals-esim1238-1-four-1;numerals-esim1238-1;Chan2019;four;4;mōɲī;moni;;FALSE;4;;
numerals-esim1238-1-five-1;numerals-esim1238-1;Chan2019;five;5;mātə̄nə̀;matana;;FALSE;5;;
numerals-esim1238-1-six-1;numerals-esim1238-1;Chan2019;six;6;mālālə̄;malala;;FALSE;6;;
numerals-esim1238-1-seven-1;numerals-esim1238-1;Chan2019;seven;7;mātə̄nə̀ mə̄rākpə̄;matanamarakpa;( 5+ 2 );FALSE;5+2;;
numerals-esim1238-1-eight-1;numerals-esim1238-1;Chan2019;eight;8;mōɲìōɲī;monioni;( 4+ 4 );FALSE;[2]·4;;
numerals-esim1238-1-nine-1;numerals-esim1238-1;Chan2019;nine;9;mātə̄nə̀ mōɲī;matanamoni;( 5 + 4 );FALSE;5+4;;
numerals-esim1238-1-ten-1;numerals-esim1238-1;Chan2019;ten;10;būɣù;bugu;;FALSE;10;;
numerals-esim1238-1-eleven-1;numerals-esim1238-1;Chan2019;eleven;11;būɣù nə̀ kēnə̄;bugunakena;( 10 and 1 );FALSE;10+{and}1;;
numerals-esim1238-1-twelve-1;numerals-esim1238-1;Chan2019;twelve;12;būɣù nə̀ mə̄rākpə̄;bugunamarakpa;;FALSE;10+{and}2;;
numerals-esim1238-1-thirteen-1;numerals-esim1238-1;Chan2019;thirteen;13;būɣù nə̀ mākə̄lə̄;bugunamakala;;FALSE;10+{and}3;;
numerals-esim1238-1-fourteen-1;numerals-esim1238-1;Chan2019;fourteen;14;būɣù nə̀ mōɲī;bugunamoni;;FALSE;10+{and}4;;
numerals-esim1238-1-fifteen-1;numerals-esim1238-1;Chan2019;fifteen;15;būɣù nə̀ mātə̄nə̀;bugunamatana;;FALSE;10+{and}5;;
numerals-esim1238-1-sixteen-1;numerals-esim1238-1;Chan2019;sixteen;16;būɣù nə̀ mālālə̄;bugunamalala;;FALSE;10+{and}6;;
numerals-esim1238-1-seventeen-1;numerals-esim1238-1;Chan2019;seventeen;17;būɣù nə̀ mātə̄nə̀ mə̄rākpə̄;bugunamatanamarakpa;;FALSE;10+{and}5+2;;
numerals-esim1238-1-eighteen-1;numerals-esim1238-1;Chan2019;eighteen;18;būɣù nə̀ mōɲìōɲī;bugunamonioni;;FALSE;10+{and}([2]·4);;
numerals-esim1238-1-nineteen-1;numerals-esim1238-1;Chan2019;nineteen;19;būɣù nə̀ mātə̄nə̀ mōɲī;bugunamatanamoni;;FALSE;10+{and}5+4;;
numerals-esim1238-1-twenty-1;numerals-esim1238-1;Chan2019;twenty;20;mòbūɣù mɔ̄rākpə̄;mobugumorakpa;( tens 2 );FALSE;10·2;;
numerals-esim1238-1-twentyone-1;numerals-esim1238-1;Chan2019;twentyone;21;mòbūɣù mɔ̄rākpə̄ nə̀ kēnə̄;mobugumorakpanakena;;FALSE;(10·2)+{and}1;;
numerals-esim1238-1-twentytwo-1;numerals-esim1238-1;Chan2019;twentytwo;22;mòbūɣù mɔ̄rākpə̄ nə̀ mə̄rākpə̄;mobugumorakpanamarakpa;;FALSE;(10·2)+{and}2;;
numerals-esim1238-1-twentythree-1;numerals-esim1238-1;Chan2019;twentythree;23;mòbūɣù mɔ̄rākpə̄ nə̀ mākə̄lə̄;mobugumorakpanamakala;;FALSE;(10·2)+{and}3;;
numerals-esim1238-1-twentyfour-1;numerals-esim1238-1;Chan2019;twentyfour;24;mòbūɣù mɔ̄rākpə̄ nə̀ mōɲī;mobugumorakpanamoni;;FALSE;(10·2)+{and}4;;
numerals-esim1238-1-twentyfive-1;numerals-esim1238-1;Chan2019;twentyfive;25;mòbūɣù mɔ̄rākpə̄ nə̀ mātə̄nə̀;mobugumorakpanamatana;;FALSE;(10·2)+{and}5;;
numerals-esim1238-1-twentysix-1;numerals-esim1238-1;Chan2019;twentysix;26;mòbūɣù mɔ̄rākpə̄ nə̀ mālālə̄;mobugumorakpanamalala;;FALSE;(10·2)+{and}6;;
numerals-esim1238-1-twentyseven-1;numerals-esim1238-1;Chan2019;twentyseven;27;mòbūɣù mɔ̄rākpə̄ nə̀ mātə̄nə̀ mə̄rākpə̄;mobugumorakpanamatanamarakpa;;FALSE;(10·2)+{and}5+2;;
numerals-esim1238-1-twentyeight-1;numerals-esim1238-1;Chan2019;twentyeight;28;mòbūɣù mɔ̄rākpə̄ nə̀ mōɲìōɲī;mobugumorakpanamonioni;;FALSE;(10·2)+{and}([2]·4);;
numerals-esim1238-1-twentynine-1;numerals-esim1238-1;Chan2019;twentynine;29;mòbūɣù mɔ̄rākpə̄ nə̀ mātə̄nə̀ mōɲī;mobugumorakpanamatanamoni;;FALSE;(10·2)+{and}5+4;;
numerals-esim1238-1-thirty-1;numerals-esim1238-1;Chan2019;thirty;30;mòbūɣù mākə̄lə̄;mobugumakala;( tens 3 );FALSE;10·3;;
numerals-esim1238-1-forty-1;numerals-esim1238-1;Chan2019;forty;40;mòbūɣù mōɲī;mobugumoni;( tens 4 );FALSE;10·4;;
numerals-esim1238-1-fifty-1;numerals-esim1238-1;Chan2019;fifty;50;mòbūɣù mātə̄nə̀;mobugumatana;( tens 5 );FALSE;10·5;;
numerals-esim1238-1-sixty-1;numerals-esim1238-1;Chan2019;sixty;60;mòbūɣù mālālə̄;mobugumalala;( tens 6 );FALSE;10·6;;
numerals-esim1238-1-seventy-1;numerals-esim1238-1;Chan2019;seventy;70;mòbūɣù mātə̄nə̀ mə̄rākpə̄;mobugumatanamarakpa;;FALSE;10·(5+2);;
numerals-esim1238-1-eighty-1;numerals-esim1238-1;Chan2019;eighty;80;mòbūɣù mōɲìōɲī;mobugumonioni;( tens 4 + 4 );FALSE;10·([2]·4);;
numerals-esim1238-1-ninety-1;numerals-esim1238-1;Chan2019;ninety;90;mòbūɣù mātə̄nə̀ mōɲī;mobugumatanamoni;( tens 5 + 4 );FALSE;10·(5+4);;
numerals-esim1238-1-hundred-1;numerals-esim1238-1;Chan2019;hundred;100;mòbūɣu būɣu;mobugubugu;;FALSE;10·10;;
numerals-esim1238-1-hundred-2;numerals-esim1238-1;Chan2019;hundred;100;hɔ̄ndə̄rə̄;hondara;( < English);TRUE;100;;
numerals-esim1238-1-twohundred-1;numerals-esim1238-1;Chan2019;twohundred;200;mɔ̀hɔ̄ndə̄rə̄ mə̄rākpə̄;mohondaramarakpa;;true_and_false;100·2;;
numerals-esim1238-1-thousand-1;numerals-esim1238-1;Chan2019;thousand;1000;tɔ̄sù;tosu;(< English 'thousand');TRUE;1000;;
numerals-esim1238-1-twothousand-1;numerals-esim1238-1;Chan2019;twothousand;2000;mɔ̀tɔ̄sù mə̄rākpə̄;motosumarakpa;;true_and_false;1000·2;;
