ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-ganz1246-2-one-1;numerals-ganz1246-2;Chan2019;one;1;ʔìʃì kwéʔèn;isikween;;FALSE;1;;
numerals-ganz1246-2-two-1;numerals-ganz1246-2;Chan2019;two;2;mámꜜbú;mambu;;FALSE;2;;
numerals-ganz1246-2-three-1;numerals-ganz1246-2;Chan2019;three;3;tʼíꜜzí;tizi;;FALSE;3;;
numerals-ganz1246-2-four-1;numerals-ganz1246-2;Chan2019;four;4;máꜜs’í;masi;;FALSE;4;;
numerals-ganz1246-2-five-1;numerals-ganz1246-2;Chan2019;five;5;k’wísʼí;kwisi;;FALSE;5;;
numerals-ganz1246-2-six-1;numerals-ganz1246-2;Chan2019;six;6;ʔìʃkìbínꜜ;iskibin;;FALSE;1+5';;
numerals-ganz1246-2-seven-1;numerals-ganz1246-2;Chan2019;seven;7;mámpʰìn;mamphin;;FALSE;2+5';;
numerals-ganz1246-2-eight-1;numerals-ganz1246-2;Chan2019;eight;8;wòbóꜜ;wobo;;FALSE;8;;
numerals-ganz1246-2-nine-1;numerals-ganz1246-2;Chan2019;nine;9;ʃèléꜜ;sele;;FALSE;9;;
numerals-ganz1246-2-ten-1;numerals-ganz1246-2;Chan2019;ten;10;kónsó-báꜜ;konsoba;( litː ''hand-pair'');FALSE;10;;
numerals-ganz1246-2-eleven-1;numerals-ganz1246-2;Chan2019;eleven;11;kónsó-bá kʼwàtʼ-ó íʃì kwéʔèn;konsobakwatoisikween;;FALSE;10+1;;
numerals-ganz1246-2-twelve-1;numerals-ganz1246-2;Chan2019;twelve;12;kónsó-bá kʼwàtʼ-ó mámꜜbú;konsobakwatomambu;;FALSE;10+2;;
numerals-ganz1246-2-thirteen-1;numerals-ganz1246-2;Chan2019;thirteen;13;kónsó-bá kʼwàtʼ-ó tʼíꜜzí;konsobakwatotizi;;FALSE;10+3;;
numerals-ganz1246-2-fourteen-1;numerals-ganz1246-2;Chan2019;fourteen;14;kónsó-bá kʼwàtʼ-ó máꜜs’í;konsobakwatomasi;;FALSE;10+4;;
numerals-ganz1246-2-fifteen-1;numerals-ganz1246-2;Chan2019;fifteen;15;kónsó-bá kʼwàtʼ-ó k’wísʼí;konsobakwatokwisi;;FALSE;10+5;;
numerals-ganz1246-2-sixteen-1;numerals-ganz1246-2;Chan2019;sixteen;16;kónsó-bá kʼwàtʼ-ó ʔìʃkìbínꜜ;konsobakwatoiskibin;;FALSE;10+1+5';;
numerals-ganz1246-2-seventeen-1;numerals-ganz1246-2;Chan2019;seventeen;17;kónsó-bá kʼwàtʼ-ó mámpʰìn;konsobakwatomamphin;;FALSE;10+2+5';;
numerals-ganz1246-2-eighteen-1;numerals-ganz1246-2;Chan2019;eighteen;18;kónsó-bá kʼwàtʼ-ó wòbóꜜ;konsobakwatowobo;;FALSE;10+8;;
numerals-ganz1246-2-nineteen-1;numerals-ganz1246-2;Chan2019;nineteen;19;kónsó-bá kʼwàtʼ-ó ʃèléꜜ;konsobakwatosele;;FALSE;10+9;;
numerals-ganz1246-2-twenty-1;numerals-ganz1246-2;Chan2019;twenty;20;ʔìʃì ásí ꜜk’jóò;isiasikjoo;(one person-CT body-CT );FALSE;1·20;;
numerals-ganz1246-2-twentyone-1;numerals-ganz1246-2;Chan2019;twentyone;21;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó íʃì kwéʔèn;isiasikjookwatoisikween;(one person-CT body-CT head-LOC one);FALSE;(1·20)+{LIG}1;;
numerals-ganz1246-2-twentytwo-1;numerals-ganz1246-2;Chan2019;twentytwo;22;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó mámꜜbú;isiasikjookwatomambu;(one person-CT body-CT head-LOC two);FALSE;(1·20)+{LIG}2;;
numerals-ganz1246-2-twentythree-1;numerals-ganz1246-2;Chan2019;twentythree;23;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó tʼíꜜzí;isiasikjookwatotizi;(one person-CT body-CT head-LOC three);FALSE;(1·20)+{LIG}3;;
numerals-ganz1246-2-twentyfour-1;numerals-ganz1246-2;Chan2019;twentyfour;24;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó máꜜs’í;isiasikjookwatomasi;(one person-CT body-CT head-LOC four);FALSE;(1·20)+{LIG}4;;
numerals-ganz1246-2-twentyfive-1;numerals-ganz1246-2;Chan2019;twentyfive;25;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó k’wísʼí;isiasikjookwatokwisi;(one person-CT body-CT head-LOC five);FALSE;(1·20)+{LIG}5;;
numerals-ganz1246-2-twentysix-1;numerals-ganz1246-2;Chan2019;twentysix;26;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó ʔìʃkìbínꜜ;isiasikjookwatoiskibin;(one person-CT body-CT head-LOC six);FALSE;(1·20)+{LIG}1+5';;
numerals-ganz1246-2-twentyseven-1;numerals-ganz1246-2;Chan2019;twentyseven;27;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó mámpʰìn;isiasikjookwatomamphin;(one person-CT body-CT head-LOC seven);FALSE;(1·20)+{LIG}2+5';;
numerals-ganz1246-2-twentyeight-1;numerals-ganz1246-2;Chan2019;twentyeight;28;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó wòbóꜜ;isiasikjookwatowobo;(one person-CT body-CT head-LOC eight);FALSE;(1·20)+{LIG}8;;
numerals-ganz1246-2-twentynine-1;numerals-ganz1246-2;Chan2019;twentynine;29;ʔìʃì ásí ꜜk’jóò kʼwàtʼ-ó ʃèléꜜ;isiasikjookwatosele;(one person-CT body-CT head-LOC nine);FALSE;(1·20)+{LIG}9;;
numerals-ganz1246-2-thirty-1;numerals-ganz1246-2;Chan2019;thirty;30;tʼíꜜzí kónsó-báꜜ;tizikonsoba;;FALSE;20+10;;
numerals-ganz1246-2-forty-1;numerals-ganz1246-2;Chan2019;forty;40;mámꜜbú ásí ꜜk’jóò;mambuasikjoo;(two person-CT body-CT );FALSE;2·20;;
numerals-ganz1246-2-fifty-1;numerals-ganz1246-2;Chan2019;fifty;50;k’wísʼí kónsó-báꜜ;kwisikonsoba;;FALSE;5·10;;
numerals-ganz1246-2-sixty-1;numerals-ganz1246-2;Chan2019;sixty;60;tʼíꜜzí ásí ꜜk’jóò;tiziasikjoo;(three person-CT body-CT );FALSE;3·20;;
