ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
numerals-kway1241-1-one-1;numerals-kway1241-1;Chan2019;one;1;kamwi;kamwi;;FALSE;1;;
numerals-kway1241-1-two-1;numerals-kway1241-1;Chan2019;two;2;kaβiri;kabiri;;FALSE;2;;
numerals-kway1241-1-three-1;numerals-kway1241-1;Chan2019;three;3;kasatu;kasatu;;FALSE;3;;
numerals-kway1241-1-four-1;numerals-kway1241-1;Chan2019;four;4;kanna;kanna;;FALSE;4;;
numerals-kway1241-1-five-1;numerals-kway1241-1;Chan2019;five;5;kataanu;kataanu;;FALSE;5;;
numerals-kway1241-1-six-1;numerals-kway1241-1;Chan2019;six;6;kasasaβa;kasasaba;;FALSE;6;3+3;
numerals-kway1241-1-seven-1;numerals-kway1241-1;Chan2019;seven;7;muⁿɡati;mungati;;FALSE;7;;
numerals-kway1241-1-eight-1;numerals-kway1241-1;Chan2019;eight;8;munaana;munaana;;FALSE;4’+4;4+4;
numerals-kway1241-1-nine-1;numerals-kway1241-1;Chan2019;nine;9;kɛnda;kenda;;FALSE;9;;
numerals-kway1241-1-ten-1;numerals-kway1241-1;Chan2019;ten;10;ɛkumi;ekumi;;FALSE;10;;
numerals-kway1241-1-eleven-1;numerals-kway1241-1;Chan2019;eleven;11;ɛkumi na kamwi;ekuminakamwi;;FALSE;10+{and}1;;
numerals-kway1241-1-twelve-1;numerals-kway1241-1;Chan2019;twelve;12;ɛkumi na βiβiri;ekuminabibiri;;FALSE;10+{and}2;;
numerals-kway1241-1-thirteen-1;numerals-kway1241-1;Chan2019;thirteen;13;ɛkumi na βisatu;ekuminabisatu;;FALSE;10+{and}3;;
numerals-kway1241-1-fourteen-1;numerals-kway1241-1;Chan2019;fourteen;14;ɛkumi na βinna;ekuminabinna;;FALSE;10+{and}4;;
numerals-kway1241-1-fifteen-1;numerals-kway1241-1;Chan2019;fifteen;15;ɛkumi na βitaanu;ekuminabitaanu;;FALSE;10+{and}5;;
numerals-kway1241-1-sixteen-1;numerals-kway1241-1;Chan2019;sixteen;16;ɛkumi na βisasaβa;ekuminabisasaba;;FALSE;10+{and}6;;
numerals-kway1241-1-seventeen-1;numerals-kway1241-1;Chan2019;seventeen;17;ɛkumi na muⁿɡati;ekuminamungati;;FALSE;10+{and}7;;
numerals-kway1241-1-eighteen-1;numerals-kway1241-1;Chan2019;eighteen;18;ɛkumi na munaana;ekuminamunaana;;FALSE;10+{and}4+4;;
numerals-kway1241-1-nineteen-1;numerals-kway1241-1;Chan2019;nineteen;19;ɛkumi na kɛnda;ekuminakenda;;FALSE;10+{and}9;;
numerals-kway1241-1-twenty-1;numerals-kway1241-1;Chan2019;twenty;20;makumi ɡaβiri;makumigabiri;;FALSE;10·2;;
numerals-kway1241-1-twentyone-1;numerals-kway1241-1;Chan2019;twentyone;21;makumi ɡaβiri na kamwi;makumigabirinakamwi;;FALSE;(10·2)+{and}1;;
numerals-kway1241-1-twentytwo-1;numerals-kway1241-1;Chan2019;twentytwo;22;makumi ɡaβiri na βiβiri;makumigabirinabibiri;;FALSE;(10·2)+{and}2;;
numerals-kway1241-1-twentythree-1;numerals-kway1241-1;Chan2019;twentythree;23;makumi ɡaβiri na βisatu;makumigabirinabisatu;;FALSE;(10·2)+{and}3;;
numerals-kway1241-1-twentyfour-1;numerals-kway1241-1;Chan2019;twentyfour;24;makumi ɡaβiri na βinna;makumigabirinabinna;;FALSE;(10·2)+{and}4;;
numerals-kway1241-1-twentyfive-1;numerals-kway1241-1;Chan2019;twentyfive;25;makumi ɡaβiri na βitaanu;makumigabirinabitaanu;;FALSE;(10·2)+{and}5;;
numerals-kway1241-1-twentysix-1;numerals-kway1241-1;Chan2019;twentysix;26;makumi ɡaβiri na βisasaβa;makumigabirinabisasaba;;FALSE;(10·2)+{and}6;;
numerals-kway1241-1-twentyseven-1;numerals-kway1241-1;Chan2019;twentyseven;27;makumi ɡaβiri na muⁿɡati;makumigabirinamungati;;FALSE;(10·2)+{and}7;;
numerals-kway1241-1-twentyeight-1;numerals-kway1241-1;Chan2019;twentyeight;28;makumi ɡaβiri na munaana;makumigabirinamunaana;;FALSE;(10·2)+{and}4+4;;
numerals-kway1241-1-twentynine-1;numerals-kway1241-1;Chan2019;twentynine;29;makumi ɡaβiri na kɛnda;makumigabirinakenda;;FALSE;(10·2)+{and}9;;
numerals-kway1241-1-thirty-1;numerals-kway1241-1;Chan2019;thirty;30;makumi ɡasatu;makumigasatu;;FALSE;10·3;;
numerals-kway1241-1-forty-1;numerals-kway1241-1;Chan2019;forty;40;makumi ɡanna;makumiganna;;FALSE;10·4;;
numerals-kway1241-1-fifty-1;numerals-kway1241-1;Chan2019;fifty;50;makumi ɡataanu;makumigataanu;;FALSE;10·5;;
numerals-kway1241-1-sixty-1;numerals-kway1241-1;Chan2019;sixty;60;makumi ɡasasaβa;makumigasasaba;;FALSE;10·6;;
numerals-kway1241-1-seventy-1;numerals-kway1241-1;Chan2019;seventy;70;makumi muⁿɡati;makumimungati;;FALSE;10·7;;
numerals-kway1241-1-eighty-1;numerals-kway1241-1;Chan2019;eighty;80;makumi munaana;makumimunaana;;FALSE;10·(4+4);;
numerals-kway1241-1-ninety-1;numerals-kway1241-1;Chan2019;ninety;90;makumi kɛnda;makumikenda;;FALSE;10·9;;
numerals-kway1241-1-hundred-1;numerals-kway1241-1;Chan2019;hundred;100;riɡana rimwi;riganarimwi;;FALSE;100·1;;
numerals-kway1241-1-twohundred-1;numerals-kway1241-1;Chan2019;twohundred;200;maɡana ɡaβiri;maganagabiri;;FALSE;100·2;;
