ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
numerals-mbel1240-1-one-1,numerals-mbel1240-1,Chan2019,one,1,yɛ̃nde,yende,,FALSE,1,,
numerals-mbel1240-1-two-1,numerals-mbel1240-1,Chan2019,two,2,yēdē,yede,,FALSE,2,,
numerals-mbel1240-1-three-1,numerals-mbel1240-1,Chan2019,three,3,tāātē,taate,,FALSE,3,,
numerals-mbel1240-1-four-1,numerals-mbel1240-1,Chan2019,four,4,naasi,naasi,,FALSE,4,,
numerals-mbel1240-1-five-1,numerals-mbel1240-1,Chan2019,five,5,nummu,nummu,,FALSE,5,,
numerals-mbel1240-1-six-1,numerals-mbel1240-1,Chan2019,six,6,dūo,duo,,FALSE,6,,
numerals-mbel1240-1-seven-1,numerals-mbel1240-1,Chan2019,seven,7,doodɛ̄,doode,,FALSE,7,6+1,
numerals-mbel1240-1-eight-1,numerals-mbel1240-1,Chan2019,eight,8,ninyɛ̃̄,ninye,,FALSE,8,,
numerals-mbel1240-1-nine-1,numerals-mbel1240-1,Chan2019,nine,9,wɛ̄ī,wei,,FALSE,9,,
numerals-mbel1240-1-ten-1,numerals-mbel1240-1,Chan2019,ten,10,kɛ̄ piíkɛ,kepiike,,FALSE,10,,
numerals-mbel1240-1-eleven-1,numerals-mbel1240-1,Chan2019,eleven,11,kɛ̄ piíkɛ mɛ̄ n bā,kepiikemenba,,FALSE,10+{and}1,,
numerals-mbel1240-1-twelve-1,numerals-mbel1240-1,Chan2019,twelve,12,kɛ̄ piíkɛ mɛ̄ n yēdē,kepiikemenyede,,FALSE,10+{and}2,,
numerals-mbel1240-1-thirteen-1,numerals-mbel1240-1,Chan2019,thirteen,13,kɛ̄ piíkɛ mɛ̄ n tāātē,kepiikementaate,,FALSE,10+{and}3,,
numerals-mbel1240-1-fourteen-1,numerals-mbel1240-1,Chan2019,fourteen,14,kɛ̄ piíkɛ mɛ̄ n naasi,kepiikemennaasi,,FALSE,10+{and}4,,
