;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-ipul1238-1-one-1;numerals-ipul1238-1;Chan2019;one;1;émɔ̀;emo;;FALSE;1;;
2;numerals-ipul1238-1-two-1;numerals-ipul1238-1;Chan2019;two;2;víàl;vial;;FALSE;{CL}2;;
3;numerals-ipul1238-1-three-1;numerals-ipul1238-1;Chan2019;three;3;vétàt;vetat;;FALSE;{CL}3;;
4;numerals-ipul1238-1-four-1;numerals-ipul1238-1;Chan2019;four;4;véɲì;veni;;FALSE;{CL}4;;
5;numerals-ipul1238-1-five-1;numerals-ipul1238-1;Chan2019;five;5;vétàn;vetan;;FALSE;{CL}5;;
6;numerals-ipul1238-1-six-1;numerals-ipul1238-1;Chan2019;six;6;véɾátúm;veratum;;FALSE;{CL}6;;
7;numerals-ipul1238-1-seven-1;numerals-ipul1238-1;Chan2019;seven;7;véɾátúm nɔ̀mɔ̀;veratumnomo;(6 + 1);FALSE;{CL}6+1;;
8;numerals-ipul1238-1-eight-1;numerals-ipul1238-1;Chan2019;eight;8;víɲèɲí;vineni;;FALSE;{CL}4+4;;
9;numerals-ipul1238-1-nine-1;numerals-ipul1238-1;Chan2019;nine;9;víɲèɲí nɔ̀mɔ̀;vineninomo;(8 + 1);FALSE;{CL}4+4+1;;
10;numerals-ipul1238-1-ten-1;numerals-ipul1238-1;Chan2019;ten;10;épɔ́ːt;epot;;FALSE;10;;
11;numerals-ipul1238-1-eleven-1;numerals-ipul1238-1;Chan2019;eleven;11;epɔːt asalamɔ;epotasalamo;;FALSE;10+{LIG}1;;
12;numerals-ipul1238-1-twelve-1;numerals-ipul1238-1;Chan2019;twelve;12;epɔːt asi mial;epotasimial;;FALSE;10+{LIG}2;;
13;numerals-ipul1238-1-thirteen-1;numerals-ipul1238-1;Chan2019;thirteen;13;epɔːt asi metat;epotasimetat;;FALSE;10+{LIG}3;;
14;numerals-ipul1238-1-fourteen-1;numerals-ipul1238-1;Chan2019;fourteen;14;epɔːt asi meɲi;epotasimeni;;FALSE;10+{LIG}4;;
15;numerals-ipul1238-1-fifteen-1;numerals-ipul1238-1;Chan2019;fifteen;15;nukul;nukul;;FALSE;15;;
16;numerals-ipul1238-1-sixteen-1;numerals-ipul1238-1;Chan2019;sixteen;16;nukul asalamɔ;nukulasalamo;(15 + 1);FALSE;15+{LIG}1;;
17;numerals-ipul1238-1-seventeen-1;numerals-ipul1238-1;Chan2019;seventeen;17;nukul asi mial;nukulasimial;;FALSE;15+{LIG}2;;
