,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-lukp1238-1-one-1,numerals-lukp1238-1,Chan2019,one,1,kʊ̀lʊ̀m,kulum,,FALSE,1,,
2,numerals-lukp1238-1-two-1,numerals-lukp1238-1,Chan2019,two,2,naalɛ̀,naale,,FALSE,2,,
3,numerals-lukp1238-1-three-1,numerals-lukp1238-1,Chan2019,three,3,tòòsó,tooso,,FALSE,3,,
4,numerals-lukp1238-1-four-1,numerals-lukp1238-1,Chan2019,four,4,naasá,naasa,,FALSE,4,,
5,numerals-lukp1238-1-five-1,numerals-lukp1238-1,Chan2019,five,5,kàk͡pásɪ̀,kakpasi,,FALSE,5,,
6,numerals-lukp1238-1-six-1,numerals-lukp1238-1,Chan2019,six,6,náátòsò,naatoso,( 2 x 3 ??),FALSE,2·3,,
7,numerals-lukp1238-1-seven-1,numerals-lukp1238-1,Chan2019,seven,7,náátòsò m̀pɔ̀ɣɔ̀laɣá,naatosompogolaga,( 6 + 1 ),FALSE,(2·3)+1’,,
8,numerals-lukp1238-1-eight-1,numerals-lukp1238-1,Chan2019,eight,8,pə́lé fɛ́jɪ́,palefeji,( - 2 ),FALSE,2’-{LIG}[10],,
9,numerals-lukp1238-1-nine-1,numerals-lukp1238-1,Chan2019,nine,9,pɔ̀ɣɔ̀láɣáfɛ́jɪ́́,pogolagafeji,( - 1 ),FALSE,1’-{LIG}[10],,
10,numerals-lukp1238-1-ten-1,numerals-lukp1238-1,Chan2019,ten,10,náánʊ́á,naanua,,FALSE,10,,
11,numerals-lukp1238-1-eleven-1,numerals-lukp1238-1,Chan2019,eleven,11,náánʊ́á nà kʊ̀lʊ̀m,naanuanakulum,,FALSE,10+{and}1,,
12,numerals-lukp1238-1-twelve-1,numerals-lukp1238-1,Chan2019,twelve,12,náánʊ́á nà naalɛ̀,naanuananaale,,FALSE,10+{and}2,,
13,numerals-lukp1238-1-thirteen-1,numerals-lukp1238-1,Chan2019,thirteen,13,náánʊ́á nà tòòsó,naanuanatooso,,FALSE,10+{and}3,,
14,numerals-lukp1238-1-fourteen-1,numerals-lukp1238-1,Chan2019,fourteen,14,náánʊ́á nà naasá,naanuananaasa,,FALSE,10+{and}4,,
15,numerals-lukp1238-1-fifteen-1,numerals-lukp1238-1,Chan2019,fifteen,15,náánʊ́á nà kàk͡pásɪ̀,naanuanakakpasi,,FALSE,10+{and}5,,
16,numerals-lukp1238-1-sixteen-1,numerals-lukp1238-1,Chan2019,sixteen,16,náánʊ́á nà náátòsò,naanuananaatoso,,FALSE,10+{and}(2·3),,
17,numerals-lukp1238-1-seventeen-1,numerals-lukp1238-1,Chan2019,seventeen,17,náánʊ́á nà náátòsò m̀pɔ̀ɣɔ̀laɣá,naanuananaatosompogolaga,,FALSE,10+{and}((2·3)+1’),,
18,numerals-lukp1238-1-eighteen-1,numerals-lukp1238-1,Chan2019,eighteen,18,naalɛ̀ fɛ́jɪ́ híú,naalefejihiu,( 20 - 2 ),FALSE,2-{LIG}20,,
19,numerals-lukp1238-1-nineteen-1,numerals-lukp1238-1,Chan2019,nineteen,19,kʊ̀lʊ̀m fɛ́jɪ́ híú,kulumfejihiu,( 20 - 1 ),FALSE,1-{LIG}20,,
20,numerals-lukp1238-1-twenty-1,numerals-lukp1238-1,Chan2019,twenty,20,híú,hiu,,FALSE,20,,
21,numerals-lukp1238-1-twentyone-1,numerals-lukp1238-1,Chan2019,twentyone,21,híú nà kʊ̀lʊ̀m,hiunakulum,,FALSE,20+{and}1,,
22,numerals-lukp1238-1-twentytwo-1,numerals-lukp1238-1,Chan2019,twentytwo,22,híú nà naalɛ̀,hiunanaale,,FALSE,20+{and}2,,
23,numerals-lukp1238-1-twentythree-1,numerals-lukp1238-1,Chan2019,twentythree,23,híú nà tòòsó,hiunatooso,,FALSE,20+{and}3,,
24,numerals-lukp1238-1-twentyfour-1,numerals-lukp1238-1,Chan2019,twentyfour,24,híú nà naasá,hiunanaasa,,FALSE,20+{and}4,,
25,numerals-lukp1238-1-twentyfive-1,numerals-lukp1238-1,Chan2019,twentyfive,25,híú nà kàk͡pásɪ̀,hiunakakpasi,,FALSE,20+{and}5,,
26,numerals-lukp1238-1-twentysix-1,numerals-lukp1238-1,Chan2019,twentysix,26,híú nà náátòsò,hiunanaatoso,,FALSE,20+{and}(2·3),,
27,numerals-lukp1238-1-twentyseven-1,numerals-lukp1238-1,Chan2019,twentyseven,27,híú nà náátòsò m̀pɔ̀ɣɔ̀laɣá,hiunanaatosompogolaga,,FALSE,20+{and}(2·3)+1’),,
28,numerals-lukp1238-1-twentyeight-1,numerals-lukp1238-1,Chan2019,twentyeight,28,híú nà pə́lé fɛ́jɪ́,hiunapalefeji,,FALSE,20+{and}(2’-{LIG}10),,20+{and}(2’-{LIG}[10])
29,numerals-lukp1238-1-twentynine-1,numerals-lukp1238-1,Chan2019,twentynine,29,híú nà pɔ̀ɣɔ̀láɣáfɛ́jɪ́́,hiunapogolagafeji,,FALSE,20+{and}(1’-{LIG}10),,20+{and}(1’-{LIG}[10])
