;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Comment_glosser;Alternate_gloss
1;numerals-okpa1238-1-one-1;numerals-okpa1238-1;Chan2019;one;1;ɔkpa;okpa;;FALSE;1;;
2;numerals-okpa1238-1-two-1;numerals-okpa1238-1;Chan2019;two;2;eva;eva;;FALSE;2;;
3;numerals-okpa1238-1-three-1;numerals-okpa1238-1;Chan2019;three;3;esa;esa;;FALSE;3;;
4;numerals-okpa1238-1-four-1;numerals-okpa1238-1;Chan2019;four;4;enen;enen;;FALSE;4;;
5;numerals-okpa1238-1-five-1;numerals-okpa1238-1;Chan2019;five;5;ishe;ishe;;FALSE;5;;
6;numerals-okpa1238-1-six-1;numerals-okpa1238-1;Chan2019;six;6;eaza;eaza;;FALSE;6;;
7;numerals-okpa1238-1-seven-1;numerals-okpa1238-1;Chan2019;seven;7;izuonua;izuonua;;FALSE;7;;
8;numerals-okpa1238-1-eight-1;numerals-okpa1238-1;Chan2019;eight;8;ɛnien;enien;;FALSE;8;;
9;numerals-okpa1238-1-nine-1;numerals-okpa1238-1;Chan2019;nine;9;isie;isie;;FALSE;9;;
10;numerals-okpa1238-1-ten-1;numerals-okpa1238-1;Chan2019;ten;10;iɡ͡be;igbe;;FALSE;10;;
11;numerals-okpa1238-1-eleven-1;numerals-okpa1238-1;Chan2019;eleven;11;oɡ͡buto;ogbuto;;FALSE;10+1;;
12;numerals-okpa1238-1-twelve-1;numerals-okpa1238-1;Chan2019;twelve;12;oɡ͡bava;ogbava;;FALSE;10+2;;
13;numerals-okpa1238-1-thirteen-1;numerals-okpa1238-1;Chan2019;thirteen;13;oɡ͡basa;ogbasa;;FALSE;10+3;;
14;numerals-okpa1238-1-fourteen-1;numerals-okpa1238-1;Chan2019;fourteen;14;oɡ͡banen;ogbanen;;FALSE;10+4;;
15;numerals-okpa1238-1-fifteen-1;numerals-okpa1238-1;Chan2019;fifteen;15;oɡ͡behien;ogbehien;;FALSE;10+5;;
16;numerals-okpa1238-1-sixteen-1;numerals-okpa1238-1;Chan2019;sixteen;16;oɡ͡baisan;ogbaisan;;FALSE;10+6;;
17;numerals-okpa1238-1-seventeen-1;numerals-okpa1238-1;Chan2019;seventeen;17;oɡ͡behionua;ogbehionua;;FALSE;10+7;;
18;numerals-okpa1238-1-eighteen-1;numerals-okpa1238-1;Chan2019;eighteen;18;oɡ͡bania;ogbania;;FALSE;10+8;;
19;numerals-okpa1238-1-nineteen-1;numerals-okpa1238-1;Chan2019;nineteen;19;oɡ͡besien;ogbesien;;FALSE;10+9;;
20;numerals-okpa1238-1-twenty-1;numerals-okpa1238-1;Chan2019;twenty;20;ɔɡ͡bɔlɔ;ogbolo;;FALSE;10·2;;
21;numerals-okpa1238-1-twentyone-1;numerals-okpa1238-1;Chan2019;twentyone;21;ɔɡ͡bɔlɔ-utɔkpa;ogboloutokpa;;FALSE;20+1;;
22;numerals-okpa1238-1-twentytwo-1;numerals-okpa1238-1;Chan2019;twentytwo;22;ɔɡ͡bɔlɔ-eteva;ogboloeteva;;FALSE;20+2;;
23;numerals-okpa1238-1-twentythree-1;numerals-okpa1238-1;Chan2019;twentythree;23;ɔɡ͡bɔlɔ-etesa;ogboloetesa;;FALSE;20+3;;
24;numerals-okpa1238-1-twentyfour-1;numerals-okpa1238-1;Chan2019;twentyfour;24;ɔɡ͡bɔlɔ-etanen;ogboloetanen;;FALSE;20+4;;
25;numerals-okpa1238-1-twentyfive-1;numerals-okpa1238-1;Chan2019;twentyfive;25;ɔɡ͡bɔlɔ-etehie;ogboloetehie;;FALSE;20+5;;
26;numerals-okpa1238-1-twentysix-1;numerals-okpa1238-1;Chan2019;twentysix;26;ɔɡ͡bɔlɔ-etaisan;ogboloetaisan;;FALSE;20+6;;
27;numerals-okpa1238-1-twentyseven-1;numerals-okpa1238-1;Chan2019;twentyseven;27;ɔɡ͡bɔlɔ-etehionua;ogboloetehionua;;FALSE;20+7;;
28;numerals-okpa1238-1-twentyeight-1;numerals-okpa1238-1;Chan2019;twentyeight;28;ɔɡ͡bɔlɔ-etanian;ogboloetanian;;FALSE;20+8;;
29;numerals-okpa1238-1-twentynine-1;numerals-okpa1238-1;Chan2019;twentynine;29;ɔɡ͡bɔlɔ-etesien;ogboloetesien;;FALSE;20+9;;
30;numerals-okpa1238-1-thirty-1;numerals-okpa1238-1;Chan2019;thirty;30;aɡ͡basa;agbasa;;FALSE;10·3;;
31;numerals-okpa1238-1-forty-1;numerals-okpa1238-1;Chan2019;forty;40;aɡ͡banen;agbanen;;FALSE;10·4;;
32;numerals-okpa1238-1-fifty-1;numerals-okpa1238-1;Chan2019;fifty;50;aɡ͡belehien;agbelehien;;FALSE;10·5;;
33;numerals-okpa1238-1-sixty-1;numerals-okpa1238-1;Chan2019;sixty;60;aɡ͡baisan;agbaisan;;FALSE;10·6;;
34;numerals-okpa1238-1-seventy-1;numerals-okpa1238-1;Chan2019;seventy;70;aɡ͡belehionua;agbelehionua;;FALSE;10·7;;
35;numerals-okpa1238-1-eighty-1;numerals-okpa1238-1;Chan2019;eighty;80;aɡ͡beletehie;agbeletehie;;FALSE;10·8;;
36;numerals-okpa1238-1-ninety-1;numerals-okpa1238-1;Chan2019;ninety;90;aɡ͡beletesien;agbeletesien;;FALSE;10·9;;
37;numerals-okpa1238-1-hundred-1;numerals-okpa1238-1;Chan2019;hundred;100;ɛɡ͡bɛa;egbea;;FALSE;100;;
38;numerals-okpa1238-1-twohundred-1;numerals-okpa1238-1;Chan2019;twohundred;200;ak͡pa-aɡu;akpaagu;;FALSE;200;;
39;numerals-okpa1238-1-thousand-1;numerals-okpa1238-1;Chan2019;thousand;1000;ak͡po-eva;akpoeva;;FALSE;?;eva = 2, and only 500 will equal 1000 but there is no data to show that akpo is 500;
40;numerals-okpa1238-1-twothousand-1;numerals-okpa1238-1;Chan2019;twothousand;2000;ijisẽ bhi ʔhuʒie;ijisebhihuzie;;FALSE;?;Insufficient data.;
