"Language_ID","ID","Parameter_ID","Value","Form","Gloss","Alternate_Gloss","Comment_Glosser"
"tswa1253-1","tswa1253-1-1-1",1,"ǹŋwɛ́","ǹŋwɛ́","1",NA,NA
"tswa1253-1","tswa1253-1-2-1",2,"pɛ́dí","pɛ́dí","2",NA,NA
"tswa1253-1","tswa1253-1-3-1",3,"ráró","ráró","3",NA,NA
"tswa1253-1","tswa1253-1-4-1",4,"ńnɛ́","ńnɛ́","4",NA,NA
"tswa1253-1","tswa1253-1-5-1",5,"tɬʰánʊ́","tɬʰánʊ́","5","5",NA
"tswa1253-1","tswa1253-1-6-1",6,"rátárʊ̄","rátárʊ̄","6","x3","x? PLU or reduplicator"
"tswa1253-1","tswa1253-1-7-1",7,"sùpá","sùpá","7",NA,NA
"tswa1253-1","tswa1253-1-8-1",8,"ròbɛ́dí","ròbɛ́dí","10-2{}","x-1","( 10 - 2 )"
"tswa1253-1","tswa1253-1-9-1",9,"rɔ̀bʊ̄n̄ŋwɛ́","rɔ̀bʊ̄n̄ŋwɛ́","10-1{}",NA,"( 10 - 1 )"
"tswa1253-1","tswa1253-1-10-2",10,"lɪ̀sʊ́mɛ̄","lɪ̀sʊ́mɛ̄","10’",NA,NA
"tswa1253-1","tswa1253-1-10-1",10,"sʊ́mɛ́","sʊ́mɛ́","10”",NA,NA
"tswa1253-1","tswa1253-1-11-1",11,"sʊ́mɛ́ ǹŋwɛ́","sʊ́mɛ́ ǹŋwɛ́","10""+1",NA,NA
"tswa1253-1","tswa1253-1-12-1",12,"sʊ́mɛ́ pɛ́dí","sʊ́mɛ́ pɛ́dí","10""+2",NA,NA
"tswa1253-1","tswa1253-1-13-1",13,"sʊ́mɛ́ tʰárʊ̄","sʊ́mɛ́ tʰárʊ̄","10""+3",NA,NA
"tswa1253-1","tswa1253-1-14-1",14,"sʊ́mɛ́ ńnɛ́","sʊ́mɛ́ ńnɛ́","10""+4",NA,NA
"tswa1253-1","tswa1253-1-15-1",15,"sʊ́mɛ́ tɬʰánʊ́","sʊ́mɛ́ tɬʰánʊ́","10""+5",NA,NA
"tswa1253-1","tswa1253-1-16-1",16,"sʊ́mɛ́ rátárʊ̄","sʊ́mɛ́ rátárʊ̄","10""+6",NA,NA
"tswa1253-1","tswa1253-1-17-1",17,"sʊ́mɛ́ sùpá","sʊ́mɛ́ sùpá","10""+7",NA,NA
"tswa1253-1","tswa1253-1-18-1",18,"sʊ́mɛ́ ròbɛ́dí","sʊ́mɛ́ ròbɛ́dí","10”+10-2’",NA,NA
"tswa1253-1","tswa1253-1-19-1",19,"sʊ́mɛ́ rɔ̀bʊ̄n̄ŋwɛ́","sʊ́mɛ́ rɔ̀bʊ̄n̄ŋwɛ́","10”+10-1",NA,NA
"tswa1253-1","tswa1253-1-20-1",20,"(mà)sʊ́mɛ́ mābɛ́dí","(mà)sʊ́mɛ́ mābɛ́dí","10”·2","{PLU}10”·{PLU}2","ma = ligature or plural marker?"
"tswa1253-1","tswa1253-1-21-1",21,"màsʊ́mɛ́ mābɛ́dí ǹŋwɛ́","màsʊ́mɛ́ mābɛ́dí ǹŋwɛ́","(10”·2)+1","({PLU}10”·{PLU}2)+1",NA
"tswa1253-1","tswa1253-1-22-1",22,"màsʊ́mɛ́ mābɛ́dí pɛ́dí","màsʊ́mɛ́ mābɛ́dí pɛ́dí","(10”·2)+2","({PLU}10”·{PLU}2)+2",NA
"tswa1253-1","tswa1253-1-23-1",23,"màsʊ́mɛ́ mābɛ́dí tʰárʊ̄","màsʊ́mɛ́ mābɛ́dí tʰárʊ̄","(10”·2)+3","({PLU}10”·{PLU}2)+3",NA
"tswa1253-1","tswa1253-1-24-1",24,"màsʊ́mɛ́ mābɛ́dí ńnɛ́","màsʊ́mɛ́ mābɛ́dí ńnɛ́","(10”·2)+4","({PLU}10”·{PLU}2)+4",NA
"tswa1253-1","tswa1253-1-25-1",25,"màsʊ́mɛ́ mābɛ́dí tɬʰánʊ́","màsʊ́mɛ́ mābɛ́dí tɬʰánʊ́","(10”·2)+5",NA,NA
"tswa1253-1","tswa1253-1-26-1",26,"màsʊ́mɛ́ mābɛ́dí rátárʊ̄","màsʊ́mɛ́ mābɛ́dí rátárʊ̄","(10”·2)+6",NA,NA
"tswa1253-1","tswa1253-1-27-1",27,"màsʊ́mɛ́ mābɛ́dí sùpá","màsʊ́mɛ́ mābɛ́dí sùpá","(10”·2)+7",NA,NA
"tswa1253-1","tswa1253-1-28-1",28,"màsʊ́mɛ́ mābɛ́dí ròbɛ́dí","màsʊ́mɛ́ mābɛ́dí ròbɛ́dí","(10”·2)+10-2’",NA,NA
"tswa1253-1","tswa1253-1-29-1",29,"màsʊ́mɛ́ mābɛ́dí rɔ̀bʊ̄n̄ŋwɛ́","màsʊ́mɛ́ mābɛ́dí rɔ̀bʊ̄n̄ŋwɛ́","(10”·2)+10-1",NA,NA
"tswa1253-1","tswa1253-1-30-1",30,"màsʊ́mɛ́ mārárʊ̀","màsʊ́mɛ́ mārárʊ̀","10”’·3'","{PLU}10”·{PLU}3",NA
"tswa1253-1","tswa1253-1-40-1",40,"màsʊ́mɛ́ māńnɛ́","màsʊ́mɛ́ māńnɛ́","10”’·4",NA,NA
"tswa1253-1","tswa1253-1-50-1",50,"màsʊ́mɛ́ mātɬʰánʊ̄","màsʊ́mɛ́ mātɬʰánʊ̄","10”’·5",NA,NA
"tswa1253-1","tswa1253-1-60-1",60,"màsʊ́mɛ́ mārátárʊ̄","màsʊ́mɛ́ mārátárʊ̄","10”’·6",NA,NA
"tswa1253-1","tswa1253-1-70-1",70,"màsʊ́mɛ́ ā sùpá","màsʊ́mɛ́ ā sùpá","10”’·7",NA,NA
"tswa1253-1","tswa1253-1-80-1",80,"màsʊ́mɛ́ ā rɔ̀bɛ́dí","màsʊ́mɛ́ ā rɔ̀bɛ́dí","10”’·(10-1)",NA,NA
"tswa1253-1","tswa1253-1-90-1",90,"màsʊ́mɛ́ ā rɔ̀bʊ̄n̄ŋwɛ́","màsʊ́mɛ́ ā rɔ̀bʊ̄n̄ŋwɛ́","10”’·(10-2’)",NA,NA
"tswa1253-1","tswa1253-1-100-1",100,"lɪ̀kxʊ́lʊ̄","lɪ̀kxʊ́lʊ̄","100",NA,NA
"tswa1253-1","tswa1253-1-200-1",200,"mà kxʊ́lʊ̄ ā mābɛ́dí","mà kxʊ́lʊ̄ ā mābɛ́dí","100·2’","{PLU}100·{·}2{PLU}",NA
"tswa1253-1","tswa1253-1-1000-1",1000,"sɪ̀kɪ̀tɪ̀","sɪ̀kɪ̀tɪ̀","1000",NA,NA
"tswa1253-1","tswa1253-1-2000-1",2000,"dìkìtɪ̀ pɛ́dɪ́","dìkìtɪ̀ pɛ́dɪ́","1000’·2’",NA,NA
