"","Symbol","ASCII","Freq"
"1","+",43,84744
"2","⋅",8901,64478
"3","{",123,54752
"4","}",125,54714
"5","]",93,39590
"6","[",91,39560
"7","(",40,31476
"8",")",41,31474
"9","′",8242,29457
"10","?",63,16464
"11","’",8217,9720
"12","·",183,6441
"13","″",8243,5226
"14","”",8221,4321
"15","−",8722,1899
"16","⁗",8279,1821
"17","-",45,1787
"18"," ",32,1608
"19","'",39,1495
"20","‴",8244,559
"21",".",46,407
"22","""",34,368
"23","∙",8729,213
"24","/",47,57
"25","½",189,37
"26",",",44,11
"27",":",58,11
"28","=",61,4
"29","“",8220,3
"30","~",126,2
"31","‘",8216,2
"32","\",92,1
"33","_",95,1
"34",">",62,1
