,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-nort2684-1-one-1,numerals-nort2684-1,Chan2019,one,1,mʊ:y,muy,,false,1,,
2,numerals-nort2684-1-two-1,numerals-nort2684-1,Chan2019,two,2,pi:r,pir,,false,2,,
3,numerals-nort2684-1-three-1,numerals-nort2684-1,Chan2019,three,3,bɛy,bey,,false,3,,
4,numerals-nort2684-1-four-1,numerals-nort2684-1,Chan2019,four,4,bʊːn,bun,,false,4,,
5,numerals-nort2684-1-five-1,numerals-nort2684-1,Chan2019,five,5,pram,pram,,false,5,,
6,numerals-nort2684-1-six-1,numerals-nort2684-1,Chan2019,six,6,prammʊːy,prammuy,,false,5[+]1,,
7,numerals-nort2684-1-seven-1,numerals-nort2684-1,Chan2019,seven,7,prampil,prampil,,false,5[+]2,,
8,numerals-nort2684-1-eight-1,numerals-nort2684-1,Chan2019,eight,8,prambɛy,prambey,,false,5[+]3,,
9,numerals-nort2684-1-nine-1,numerals-nort2684-1,Chan2019,nine,9,prambʊːn,prambun,,false,5[+]4,,
10,numerals-nort2684-1-ten-1,numerals-nort2684-1,Chan2019,ten,10,dɒp,dap,,false,10,,
11,numerals-nort2684-1-eleven-1,numerals-nort2684-1,Chan2019,eleven,11,ma tnɒp,matnap,,false,1′+10,,
12,numerals-nort2684-1-twelve-1,numerals-nort2684-1,Chan2019,twelve,12,pi:r tnɒp,pirtnap,,false,2+10,,
13,numerals-nort2684-1-thirteen-1,numerals-nort2684-1,Chan2019,thirteen,13,bɛy tnɒp,beytnap,,false,3+10,,
14,numerals-nort2684-1-fourteen-1,numerals-nort2684-1,Chan2019,fourteen,14,bʊːn tnɒp,buntnap,,false,4+10,,
15,numerals-nort2684-1-fifteen-1,numerals-nort2684-1,Chan2019,fifteen,15,pram tnɒp,pramtnap,,false,5+10,,
16,numerals-nort2684-1-sixteen-1,numerals-nort2684-1,Chan2019,sixteen,16,prammʊːy tnɒp,prammuytnap,,false,5[+]1+10,,
