,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-semn1249-1-one-1,numerals-semn1249-1,Chan2019,one,1,iɐ,ia,,false,1,,
2,numerals-semn1249-1-two-1,numerals-semn1249-1,Chan2019,two,2,dɵ,do,,false,2,,
3,numerals-semn1249-1-three-1,numerals-semn1249-1,Chan2019,three,3,hæɾɐ,haera,,false,3,,
4,numerals-semn1249-1-four-1,numerals-semn1249-1,Chan2019,four,4,t͡ʃɒhɒɾ,tsahar,,false,4,,
5,numerals-semn1249-1-five-1,numerals-semn1249-1,Chan2019,five,5,pɐnd͡ʒ,pandz,,false,5,,
6,numerals-semn1249-1-six-1,numerals-semn1249-1,Chan2019,six,6,ʃɐʃ,sas,,false,6,,
7,numerals-semn1249-1-seven-1,numerals-semn1249-1,Chan2019,seven,7,hɐʃ,has,,false,7,,
8,numerals-semn1249-1-seven-2,numerals-semn1249-1,Chan2019,seven,7,hɐʃt,hast,,false,7,,
9,numerals-semn1249-1-eight-1,numerals-semn1249-1,Chan2019,eight,8,haʃ,has,,false,8,,
10,numerals-semn1249-1-eight-2,numerals-semn1249-1,Chan2019,eight,8,haʃt,hast,,false,8,,
11,numerals-semn1249-1-nine-1,numerals-semn1249-1,Chan2019,nine,9,nɐ,na,,false,9,,
12,numerals-semn1249-1-ten-1,numerals-semn1249-1,Chan2019,ten,10,dɐs,das,,false,10,,
13,numerals-semn1249-1-eleven-1,numerals-semn1249-1,Chan2019,eleven,11,jɒzdɐ,jazda,,false,1+10,,
14,numerals-semn1249-1-twenty-1,numerals-semn1249-1,Chan2019,twenty,20,vist,vist,,false,20,historically 2⋅10,
15,numerals-semn1249-1-hundred-1,numerals-semn1249-1,Chan2019,hundred,100,sæ,sae,,false,100,,
