,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-megl1237-1-one-1,numerals-megl1237-1,Chan2019,one,1,ˈun,un,,false,1,masculine,
2,numerals-megl1237-1-one-2,numerals-megl1237-1,Chan2019,one,1,ˈunə,una,(masc./fem.),false,1,feminine,
3,numerals-megl1237-1-two-1,numerals-megl1237-1,Chan2019,two,2,ˈdoj,doj,,false,2,,
4,numerals-megl1237-1-three-1,numerals-megl1237-1,Chan2019,three,3,ˈtrej,trej,,false,3,,
5,numerals-megl1237-1-four-1,numerals-megl1237-1,Chan2019,four,4,ˈpatru,patru,,false,4,,
6,numerals-megl1237-1-five-1,numerals-megl1237-1,Chan2019,five,5,ˈt͡ʃint͡ʃ,tsints,,false,5,,
7,numerals-megl1237-1-six-1,numerals-megl1237-1,Chan2019,six,6,ˈʃasi,sasi,,false,6,,
8,numerals-megl1237-1-seven-1,numerals-megl1237-1,Chan2019,seven,7,ˈʃapti,sapti,,false,7,,
9,numerals-megl1237-1-eight-1,numerals-megl1237-1,Chan2019,eight,8,ˈoptu,optu,,false,8,,
10,numerals-megl1237-1-eight-2,numerals-megl1237-1,Chan2019,eight,8,wopt,wopt,,false,8,,
11,numerals-megl1237-1-nine-1,numerals-megl1237-1,Chan2019,nine,9,ˈno̯awə,noawa,,false,9,,
12,numerals-megl1237-1-ten-1,numerals-megl1237-1,Chan2019,ten,10,ˈze̯at͡ʃi,zeatsi,,false,10,,
13,numerals-megl1237-1-eleven-1,numerals-megl1237-1,Chan2019,eleven,11,ˈunsprət͡ʃi,unspratsi,,false,1+{+}10′,,
14,numerals-megl1237-1-twelve-1,numerals-megl1237-1,Chan2019,twelve,12,ˈdojsprət͡ʃi,dojspratsi,,false,2+{+}10′,,
15,numerals-megl1237-1-thirteen-1,numerals-megl1237-1,Chan2019,thirteen,13,ˈtrejsprət͡ʃi,trejspratsi,,false,3+{+}10′,,
16,numerals-megl1237-1-fourteen-1,numerals-megl1237-1,Chan2019,fourteen,14,ˈpasprət͡ʃi,paspratsi,,false,4+{+}10′,,
17,numerals-megl1237-1-fifteen-1,numerals-megl1237-1,Chan2019,fifteen,15,ˈt͡ʃint͡ʃsprət͡ʃi,tsintsspratsi,,false,5+{+}10′,,
18,numerals-megl1237-1-sixteen-1,numerals-megl1237-1,Chan2019,sixteen,16,ˈʃasisprət͡ʃi,sasispratsi,,false,6+{+}10′,,
19,numerals-megl1237-1-seventeen-1,numerals-megl1237-1,Chan2019,seventeen,17,ˈʃaptisprət͡ʃi,saptispratsi,,false,7+{+}10′,,
20,numerals-megl1237-1-eighteen-1,numerals-megl1237-1,Chan2019,eighteen,18,ˈwoptsprət͡ʃi,woptspratsi,,false,8+{+}10′,,
21,numerals-megl1237-1-nineteen-1,numerals-megl1237-1,Chan2019,nineteen,19,ˈnwawəsprət͡ʃi,nwawaspratsi,,false,9+{+}10′,,
22,numerals-megl1237-1-twenty-1,numerals-megl1237-1,Chan2019,twenty,20,ˈdo̯awzət͡ʃ,doawzats,,false,2⋅10,,
23,numerals-megl1237-1-twentyone-1,numerals-megl1237-1,Chan2019,twentyone,21,unsprəˈiŋgit͡ʃ,unsprainggits,,false,1+{+}20,,
24,numerals-megl1237-1-twentytwo-1,numerals-megl1237-1,Chan2019,twentytwo,22,dojsprəˈiŋgit͡ʃ,dojsprainggits,,false,2+{+}20,,
25,numerals-megl1237-1-twentythree-1,numerals-megl1237-1,Chan2019,twentythree,23,trejsprəˈiŋgit͡ʃ,trejsprainggits,,false,3+{+}20,,
26,numerals-megl1237-1-twentyfour-1,numerals-megl1237-1,Chan2019,twentyfour,24,patrusprəˈiŋgit͡ʃ,patrusprainggits,,false,4+{+}20,,
27,numerals-megl1237-1-twentyfive-1,numerals-megl1237-1,Chan2019,twentyfive,25,t͡ʃint͡ʃsprəˈiŋgit͡ʃ,tsintssprainggits,,false,5+{+}20,,
28,numerals-megl1237-1-twentysix-1,numerals-megl1237-1,Chan2019,twentysix,26,ʃasisprəˈiŋgit͡ʃ,sasisprainggits,,false,6+{+}20,,
29,numerals-megl1237-1-twentyseven-1,numerals-megl1237-1,Chan2019,twentyseven,27,ʃaptisprəˈiŋgit͡ʃ,saptisprainggits,,false,7+{+}20,,
30,numerals-megl1237-1-twentyeight-1,numerals-megl1237-1,Chan2019,twentyeight,28,optsprəˈiŋgit͡ʃ,optsprainggits,,false,8+{+}20,,
31,numerals-megl1237-1-twentynine-1,numerals-megl1237-1,Chan2019,twentynine,29,no̯awəsprəˈiŋgit͡ʃ,noawasprainggits,,false,9+{+}20,,
32,numerals-megl1237-1-thirty-1,numerals-megl1237-1,Chan2019,thirty,30,trejˈzət͡ʃ,trejzats,,false,3⋅10,,
33,numerals-megl1237-1-forty-1,numerals-megl1237-1,Chan2019,forty,40,patɾuˈzət͡ʃ,patruzats,,false,4⋅10,,
34,numerals-megl1237-1-fifty-1,numerals-megl1237-1,Chan2019,fifty,50,t͡ʃint͡ʃˈzət͡ʃ,tsintszats,,false,5⋅10,,
35,numerals-megl1237-1-sixty-1,numerals-megl1237-1,Chan2019,sixty,60,ʃejˈzet͡ʃ,sejzets,,false,6⋅10,,
36,numerals-megl1237-1-seventy-1,numerals-megl1237-1,Chan2019,seventy,70,ʃaptiˈzət͡ʃ,saptizats,,false,7⋅10,,
37,numerals-megl1237-1-eighty-1,numerals-megl1237-1,Chan2019,eighty,80,ˈobˈzət͡ʃ,obzats,,false,8⋅10,,
38,numerals-megl1237-1-ninety-1,numerals-megl1237-1,Chan2019,ninety,90,ˈno̯awəzət͡ʃ,noawazats,,false,9⋅10,,
39,numerals-megl1237-1-hundred-1,numerals-megl1237-1,Chan2019,hundred,100,ˈunə ˈsutə,unasuta,,false,1[⋅]100,,
40,numerals-megl1237-1-twohundred-1,numerals-megl1237-1,Chan2019,twohundred,200,ˈdo̯awə ˈsuti,doawasuti,,false,2[⋅]100,,
41,numerals-megl1237-1-thousand-1,numerals-megl1237-1,Chan2019,thousand,1000,ˈunə ˈmiʎe,unamiye,,false,1[⋅]1000,,
42,numerals-megl1237-1-twothousand-1,numerals-megl1237-1,Chan2019,twothousand,2000,ˈdo̯awə ˈmiʎ,doawamiy,,false,2[⋅]1000,,
