,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-lahu1253-1-one-1,numerals-lahu1253-1,Chan2019,one,1,te53,te53,,false,1,,
2,numerals-lahu1253-1-two-1,numerals-lahu1253-1,Chan2019,two,2,ɳi53,ni53,,false,2,,
3,numerals-lahu1253-1-three-1,numerals-lahu1253-1,Chan2019,three,3,ʃɛ53ʔ,se53,,false,3,,
4,numerals-lahu1253-1-four-1,numerals-lahu1253-1,Chan2019,four,4,ɔ53,o53,,false,4,,
5,numerals-lahu1253-1-five-1,numerals-lahu1253-1,Chan2019,five,5,ŋa53,nga53,,false,5,,
6,numerals-lahu1253-1-six-1,numerals-lahu1253-1,Chan2019,six,6,kʰɔ21ʔ,kho21,,false,6,,
7,numerals-lahu1253-1-seven-1,numerals-lahu1253-1,Chan2019,seven,7,sɯ11,sw11,,false,7,,
8,numerals-lahu1253-1-eight-1,numerals-lahu1253-1,Chan2019,eight,8,hi35,hi35,,false,8,,
9,numerals-lahu1253-1-nine-1,numerals-lahu1253-1,Chan2019,nine,9,qɔ53,qo53,,false,9,,
10,numerals-lahu1253-1-ten-1,numerals-lahu1253-1,Chan2019,ten,10,te53tʃʰi33,te53tshi33,,false,1[⋅]10,,
11,numerals-lahu1253-1-eleven-1,numerals-lahu1253-1,Chan2019,eleven,11,te53tʃʰi33 te53,te53tshi33te53,,false,(1[⋅]10)[+]1,,
12,numerals-lahu1253-1-twelve-1,numerals-lahu1253-1,Chan2019,twelve,12,te53tʃʰi33 ɳi53,te53tshi33ni53,,false,(1[⋅]10)[+]2,,
13,numerals-lahu1253-1-thirteen-1,numerals-lahu1253-1,Chan2019,thirteen,13,te53tʃʰi33 ʃɛ53ʔ,te53tshi33se53,,false,(1[⋅]10)[+]3,,
14,numerals-lahu1253-1-fourteen-1,numerals-lahu1253-1,Chan2019,fourteen,14,te53tʃʰi33 ɔ53,te53tshi33o53,,false,(1[⋅]10)[+]4,,
15,numerals-lahu1253-1-fifteen-1,numerals-lahu1253-1,Chan2019,fifteen,15,te53tʃʰi33 ŋa53,te53tshi33nga53,,false,(1[⋅]10)[+]5,,
16,numerals-lahu1253-1-sixteen-1,numerals-lahu1253-1,Chan2019,sixteen,16,te53tʃʰi33 kʰɔ21ʔ,te53tshi33kho21,,false,(1[⋅]10)[+]6,,
17,numerals-lahu1253-1-seventeen-1,numerals-lahu1253-1,Chan2019,seventeen,17,te53tʃʰi33 sɯ11,te53tshi33sw11,,false,(1[⋅]10)[+]7,,
18,numerals-lahu1253-1-eighteen-1,numerals-lahu1253-1,Chan2019,eighteen,18,te53tʃʰi33 hi35,te53tshi33hi35,,false,(1[⋅]10)[+]8,,
19,numerals-lahu1253-1-nineteen-1,numerals-lahu1253-1,Chan2019,nineteen,19,te53tʃʰi33 qɔ53,te53tshi33qo53,,false,(1[⋅]10)[+]9,,
20,numerals-lahu1253-1-twenty-1,numerals-lahu1253-1,Chan2019,twenty,20,ɳi53tʃʰi33,ni53tshi33,,false,2[⋅]10,,
21,numerals-lahu1253-1-twentyone-1,numerals-lahu1253-1,Chan2019,twentyone,21,ɳi53tʃʰi33 te53,ni53tshi33te53,,false,(2[⋅]10)[+]1,,
22,numerals-lahu1253-1-twentytwo-1,numerals-lahu1253-1,Chan2019,twentytwo,22,ɳi53tʃʰi33 ɳi53,ni53tshi33ni53,,false,(2[⋅]10)[+]2,,
23,numerals-lahu1253-1-twentythree-1,numerals-lahu1253-1,Chan2019,twentythree,23,ɳi53tʃʰi33 ʃɛ53ʔ,ni53tshi33se53,,false,(2[⋅]10)[+]3,,
24,numerals-lahu1253-1-twentyfour-1,numerals-lahu1253-1,Chan2019,twentyfour,24,ɳi53tʃʰi33 ɔ53,ni53tshi33o53,,false,(2[⋅]10)[+]4,,
25,numerals-lahu1253-1-twentyfive-1,numerals-lahu1253-1,Chan2019,twentyfive,25,ɳi53tʃʰi33 ŋa53,ni53tshi33nga53,,false,(2[⋅]10)[+]5,,
26,numerals-lahu1253-1-twentysix-1,numerals-lahu1253-1,Chan2019,twentysix,26,ɳi53tʃʰi33 kʰɔ21ʔ,ni53tshi33kho21,,false,(2[⋅]10)[+]6,,
27,numerals-lahu1253-1-twentyseven-1,numerals-lahu1253-1,Chan2019,twentyseven,27,ɳi53tʃʰi33 sɯ11,ni53tshi33sw11,,false,(2[⋅]10)[+]7,,
