,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-para1302-1-one-1,numerals-para1302-1,Chan2019,one,1,khai,khai,,false,1,,
2,numerals-para1302-1-two-1,numerals-para1302-1,Chan2019,two,2,anqi,anqi,,false,2,,
3,numerals-para1302-1-three-1,numerals-para1302-1,Chan2019,three,3,asaw,asaw,,false,3,,
4,numerals-para1302-1-four-1,numerals-para1302-1,Chan2019,four,4,pezhai,pezhai,,false,4,,
5,numerals-para1302-1-five-1,numerals-para1302-1,Chan2019,five,5,painka,painka,,false,5,,
6,numerals-para1302-1-six-1,numerals-para1302-1,Chan2019,six,6,tarui,tarui,,false,6,,
7,numerals-para1302-1-seven-1,numerals-para1302-1,Chan2019,seven,7,taynqai,taynqai,,false,7,,
8,numerals-para1302-1-eight-1,numerals-para1302-1,Chan2019,eight,8,taishwai,taishwai,,false,8,,
9,numerals-para1302-1-nine-1,numerals-para1302-1,Chan2019,nine,9,taipvui,taipvui,,false,9,,
10,numerals-para1302-1-ten-1,numerals-para1302-1,Chan2019,ten,10,taira,taira,,false,10,,
11,numerals-para1302-1-ten-2,numerals-para1302-1,Chan2019,ten,10,taira hai,tairahai,,false,10[⋅]1,,
12,numerals-para1302-1-eleven-1,numerals-para1302-1,Chan2019,eleven,11,tamaipvuikhai,tamaipvuikhai,,false,{fill}{20}[10+]1,overcounting,{fill}20[+]1[−10]
13,numerals-para1302-1-twelve-1,numerals-para1302-1,Chan2019,twelve,12,tamaipvuianqi,tamaipvuianqi,,false,{fill}{20}[10+]2,overcounting,{fill}20[+]2[−10]
14,numerals-para1302-1-thirteen-1,numerals-para1302-1,Chan2019,thirteen,13,tamaipvuiasaw,tamaipvuiasaw,,false,{fill}{20}[10+]3,overcounting,{fill}20[+]3[−10]
15,numerals-para1302-1-fourteen-1,numerals-para1302-1,Chan2019,fourteen,14,tamaipvuipezhai,tamaipvuipezhai,,false,{fill}{20}[10+]4,overcounting,{fill}20[+]4[−10]
16,numerals-para1302-1-fifteen-1,numerals-para1302-1,Chan2019,fifteen,15,tamaipvuipainka,tamaipvuipainka,,false,{fill}{20}[10+]5,overcounting,{fill}20[+]5[−10]
17,numerals-para1302-1-sixteen-1,numerals-para1302-1,Chan2019,sixteen,16,tamaipvuitarui,tamaipvuitarui,,false,{fill}{20}[10+]6,overcounting,{fill}20[+]6[−10]
18,numerals-para1302-1-seventeen-1,numerals-para1302-1,Chan2019,seventeen,17,tamaipvuitaynqai,tamaipvuitaynqai,,false,{fill}{20}[10+]7,overcounting,{fill}20[+]7[−10]
19,numerals-para1302-1-eighteen-1,numerals-para1302-1,Chan2019,eighteen,18,tamaipvuitaishwai,tamaipvuitaishwai,,false,{fill}{20}[10+]8,overcounting,{fill}20[+]8[−10]
20,numerals-para1302-1-nineteen-1,numerals-para1302-1,Chan2019,nineteen,19,tamaipvuitaipvui,tamaipvuitaipvui,,false,{fill}{20}[10+]9,overcounting,{fill}20[+]9[−10]
21,numerals-para1302-1-twenty-1,numerals-para1302-1,Chan2019,twenty,20,maipvui,maipvui,,false,20,,
22,numerals-para1302-1-twenty-2,numerals-para1302-1,Chan2019,twenty,20,maipvuihai,maipvuihai,,false,20[⋅]1,,
23,numerals-para1302-1-twentyone-1,numerals-para1302-1,Chan2019,twentyone,21,takhisawkhai,takhisawkhai,,false,{fill}{10′⋅3}[20+]1,overcounting,{fill}(10′⋅3)[+]1[−10]
24,numerals-para1302-1-twentyfive-1,numerals-para1302-1,Chan2019,twentyfive,25,takhisawpainka,takhisawpainka,,false,{fill}{10′⋅3}[20+]5,overcounting,{fill}(10′⋅3)[+]5[−10]
25,numerals-para1302-1-twentynine-1,numerals-para1302-1,Chan2019,twentynine,29,takhisawtaipvui,takhisawtaipvui,,false,{fill}{10′⋅3}[20+]9,overcounting,{fill}(10′⋅3)[+]9[−10]
26,numerals-para1302-1-thirty-1,numerals-para1302-1,Chan2019,thirty,30,khisaw,khisaw,,false,10′⋅3,,
27,numerals-para1302-1-thirty-2,numerals-para1302-1,Chan2019,thirty,30,khisaw hai,khisawhai,,false,10′⋅3[⋅]1,,
28,numerals-para1302-1-thirtyone-1,numerals-para1302-1,Chan2019,thirtyone,31,takhipezhaipakhai,takhipezhaipakhai,,false,{fill}{10′⋅4}[30+]1,overcounting,{fill}(10′⋅4)[+]1[−10]
29,numerals-para1302-1-thirtynine-1,numerals-para1302-1,Chan2019,thirtynine,39,takhipezhaipataipvui,takhipezhaipataipvui,,false,{fill}{10′⋅4}[30+]9,overcounting,{fill}(10′⋅4)[+]9[−10]
