,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-erav1242-2-one-1,numerals-erav1242-2,Chan2019,one,1,u̯ondɨ,uondi,,false,1,,
2,numerals-erav1242-2-two-1,numerals-erav1242-2,Chan2019,two,2,rʌndɨ,rndi,,false,2,,
3,numerals-erav1242-2-three-1,numerals-erav1242-2,Chan2019,three,3,muːndɨ,mundi,,false,3,,
4,numerals-erav1242-2-four-1,numerals-erav1242-2,Chan2019,four,4,naːlɨ,nali,,false,4,,
5,numerals-erav1242-2-five-1,numerals-erav1242-2,Chan2019,five,5,ʌɲɟɨ,nji,,false,5,,
6,numerals-erav1242-2-six-1,numerals-erav1242-2,Chan2019,six,6,aːrɨ,ari,,false,6,,
7,numerals-erav1242-2-seven-1,numerals-erav1242-2,Chan2019,seven,7,i̯eːɭɨ,ieli,,false,7,,
8,numerals-erav1242-2-eight-1,numerals-erav1242-2,Chan2019,eight,8,i̯eʈʈɨ,ietti,,false,8,,
9,numerals-erav1242-2-nine-1,numerals-erav1242-2,Chan2019,nine,9,u̯ombʌðɨ,uombdi,,false,1[−]10,,
10,numerals-erav1242-2-ten-1,numerals-erav1242-2,Chan2019,ten,10,pʌt̪t̪ɨ,ptti,,false,10,,
11,numerals-erav1242-2-eleven-1,numerals-erav1242-2,Chan2019,eleven,11,pʌðinǒndɨ,pdinondi,,false,10+1,,
12,numerals-erav1242-2-twelve-1,numerals-erav1242-2,Chan2019,twelve,12,pʌnnʌndɨ,pnnndi,,false,10+2,,
13,numerals-erav1242-2-thirteen-1,numerals-erav1242-2,Chan2019,thirteen,13,pʌðǐmuːndɨ,pdimundi,,false,10+3,,
14,numerals-erav1242-2-fourteen-1,numerals-erav1242-2,Chan2019,fourteen,14,pʌðǐnaːlɨ,pdinali,,false,10+4,,
15,numerals-erav1242-2-fifteen-1,numerals-erav1242-2,Chan2019,fifteen,15,pʌðǐnʌɲɟɨ,pdinnji,,false,10+5,,
16,numerals-erav1242-2-sixteen-1,numerals-erav1242-2,Chan2019,sixteen,16,pʌðǐnaːrɨ,pdinari,,false,10+6,,
17,numerals-erav1242-2-seventeen-1,numerals-erav1242-2,Chan2019,seventeen,17,pʌðǐneːɭɨ,pdineli,,false,10+7,,
18,numerals-erav1242-2-eighteen-1,numerals-erav1242-2,Chan2019,eighteen,18,pʌðǐnět̪t̪ɨ,pdinetti,,false,10+8,,
19,numerals-erav1242-2-nineteen-1,numerals-erav1242-2,Chan2019,nineteen,19,pʌt̪t̪ǒmbʌðɨ,pttombdi,,false,10+(1[−]10),,
20,numerals-erav1242-2-twenty-1,numerals-erav1242-2,Chan2019,twenty,20,i̯irɨvʌðɨ,iirivdi,,false,2′⋅10,,
21,numerals-erav1242-2-twentyone-1,numerals-erav1242-2,Chan2019,twentyone,21,i̯irɨvʌt̪t̪ǒndɨ,iirivttondi,,false,(2′⋅10)+1,,
22,numerals-erav1242-2-twentytwo-1,numerals-erav1242-2,Chan2019,twentytwo,22,i̯irɨvʌt̪t̪ǐrʌndɨ,iirivttirndi,,false,(2′⋅10)+2,,
23,numerals-erav1242-2-twentythree-1,numerals-erav1242-2,Chan2019,twentythree,23,i̯irɨvʌt̪t̪ǐmuːndɨ,iirivttimundi,,false,(2′⋅10)+3,,
24,numerals-erav1242-2-twentyfour-1,numerals-erav1242-2,Chan2019,twentyfour,24,i̯irɨvʌt̪t̪ǐnaːlɨ,iirivttinali,,false,(2′⋅10)+4,,
25,numerals-erav1242-2-twentyfive-1,numerals-erav1242-2,Chan2019,twentyfive,25,i̯irɨvʌt̪t̪ǐʌɲɟɨ,iirivttinji,,false,(2′⋅10)+5,,
26,numerals-erav1242-2-twentysix-1,numerals-erav1242-2,Chan2019,twentysix,26,i̯irɨvʌt̪t̪aːrɨ,iirivttari,,false,(2′⋅10)+6,,
27,numerals-erav1242-2-twentyseven-1,numerals-erav1242-2,Chan2019,twentyseven,27,i̯irɨvʌt̪t̪eːɭɨ,iirivtteli,,false,(2′⋅10)+7,,
28,numerals-erav1242-2-twentyeight-1,numerals-erav1242-2,Chan2019,twentyeight,28,i̯irɨvʌt̪t̪eːʈʈɨ,iirivttetti,,false,(2′⋅10)+8,,
29,numerals-erav1242-2-twentynine-1,numerals-erav1242-2,Chan2019,twentynine,29,i̯irɨvʌt̪t̪ǒmbʌðɨ,iirivttombdi,,false,(2′⋅10)+(1[−]10),,
30,numerals-erav1242-2-thirty-1,numerals-erav1242-2,Chan2019,thirty,30,muppʌðɨ,muppdi,,false,3⋅10,,
31,numerals-erav1242-2-forty-1,numerals-erav1242-2,Chan2019,forty,40,naːppʌðɨ,nappdi,,false,4⋅10,,
32,numerals-erav1242-2-fifty-1,numerals-erav1242-2,Chan2019,fifty,50,ʌmbʌðɨ,mbdi,,false,5⋅10,,
33,numerals-erav1242-2-sixty-1,numerals-erav1242-2,Chan2019,sixty,60,ʌrɨvʌðɨ,rivdi,,false,6⋅10,,
34,numerals-erav1242-2-seventy-1,numerals-erav1242-2,Chan2019,seventy,70,i̯eːɭɨvʌðɨ,ielivdi,,false,7⋅10,,
35,numerals-erav1242-2-eighty-1,numerals-erav1242-2,Chan2019,eighty,80,i̯embʌðɨ,iembdi,,false,8⋅10,,
36,numerals-erav1242-2-ninety-1,numerals-erav1242-2,Chan2019,ninety,90,t̪ǒɳɳuːɾɨ,tonnuri,,false,[10]−100,reanalysis of an older form for 9 as a subtractive element (?),10′[−]100
37,numerals-erav1242-2-hundred-1,numerals-erav1242-2,Chan2019,hundred,100,nuːrɨ,nuri,,false,100,,
38,numerals-erav1242-2-thousand-1,numerals-erav1242-2,Chan2019,thousand,1000,aːi̯rɔ̃,airo,,false,1000,,
39,numerals-erav1242-2-twothousand-1,numerals-erav1242-2,Chan2019,twothousand,2000,rʌndaːi̯rɔ̃,rndairo,,false,2[⋅]1000,,
40,numerals-erav1242-2-threethousand-1,numerals-erav1242-2,Chan2019,threethousand,3000,muːndaːi̯rɔ̃,mundairo,,false,3[⋅]1000,,
